mouse_id	colon_inflamm_sev	colon_injury_extent	colon_epithelial_regen	colon_crypt_damage	percent_involv	cecum_submuc_edema	cecum_PNM_infil	cecum_num_gobletCells	cecum_epithelial_integrity
9949	0.2	0.8	0.0	0.0	0.4	0.8	0.4	0.9	0.5
9948	0.3	1.5	1.0	0.0	1.0	1.2	0.5	1.1	0.9
9969	0.3	1.5	1.0	0.0	1.0	1.0	0.7	2.0	1.2
9968	1.1	2.2	2.2	0.0	2.2	0.6	0.9	0.9	1.0
9966	0.3	0.5	0.0	0.0	0.5	0.0	0.3	0.5	0.1
9965	0.0	0.0	0.0	0.0	0.0	0.2	0.3	1.0	0.6
9964	0.4	0.6	0.4	0.3	0.3	0.3	0.6	0.8	1.0
9963	0.3	0.8	0.5	0.0	0.5	0.6	0.6	0.6	1.0
9975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
9974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
9971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9970	0.3	1.3	0.0	0.0	0.7	0.8	0.6	1.2	0.7
