SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD01.CR.LFLF.1.15,stool,,Male,LFLF,1/24/24,11:00,CharlesRiver,CDD01,15,T,F,23.6,23.6,0,89,,,,,,,,,
CDD01.CR.LFLF.2.15,stool,,Male,LFLF,1/24/24,11:00,CharlesRiver,CDD01,15,T,F,22.6,22.6,0,90,,,,,,,,,
CDD01.CR.LFLF.3.15,stool,,Male,LFLF,1/24/24,10:00,CharlesRiver,CDD01,15,T,F,23.3,23.3,0,90,,,,,,,,,
CDD01.Tc.Chow.1.16,stool,,Male,Chow,1/25/24,10:00,Taconic,CDD01,16,T,F,25.4,25.8,1.57480315,90,,,,,,,,,
CDD01.Tc.Chow.2.16,stool,,Male,Chow,1/25/24,10:00,Taconic,CDD01,16,T,F,22.3,22.3,0,87,,,,,,,,,
CDD01.Tc.LFLF.1.16,stool,,Male,LFLF,1/25/24,10:00,Taconic,CDD01,16,T,F,22.1,22,-0.452488688,91,,,,,,,,,
CDD01.Tc.LFLF.2.16,stool,,Male,LFLF,1/25/24,10:00,Taconic,CDD01,16,T,F,24.8,24.2,-2.419354839,92.5,,,,,,,,,
CDD01.Tc.LFLF.3.16,stool,,Male,LFLF,1/25/24,16:30,Taconic,CDD01,16,T,F,25.5,23.4,-8.235294118,92.5,,,,,,,,,
CDD01.CR.Chow.1.16,stool,,Male,Chow,1/25/24,10:00,CharlesRiver,CDD01,16,T,F,23.6,24.7,4.661016949,90.4,,,,,,,,,
CDD01.CR.Chow.2.16,stool,,Male,Chow,1/25/24,10:00,CharlesRiver,CDD01,16,T,F,21.8,21.5,-1.376146789,88.4,,,,,,,,,
CDD01.CR.LFLF.1.16,stool,,Male,LFLF,1/25/24,10:00,CharlesRiver,CDD01,16,T,F,23.6,23.7,0.423728814,92,,,,,,,,,
CDD01.CR.LFLF.2.16,stool,,Male,LFLF,1/25/24,16:30,CharlesRiver,CDD01,16,swab,F,22.6,22.5,-0.442477876,90.3,,,,,,,,,
CDD01.CR.LFLF.3.16,stool,,Male,LFLF,1/25/24,10:00,CharlesRiver,CDD01,16,T,F,23.3,23.4,0.429184549,93.2,,,,,,,,,
CDD01.Tc.Chow.1.17,stool,,Male,Chow,1/26/24,10:30,Taconic,CDD01,17,T,F,25.4,26.8,5.511811024,85.8,,,,,,,,,
CDD01.Tc.Chow.2.17,stool,,Male,Chow,1/26/24,10:30,Taconic,CDD01,17,mucusy,F,22.3,21.1,-5.381165919,83.8,,,,,,,,,
CDD01.Tc.LFLF.1.17,stool,,Male,LFLF,1/26/24,10:30,Taconic,CDD01,17,T,F,22.1,23.2,4.977375566,91.2,,,,,,,,,
CDD01.Tc.LFLF.2.17,stool,,Male,LFLF,1/26/24,10:30,Taconic,CDD01,17,T,F,24.8,25.3,2.016129032,87,,,,,,,,,
CDD01.Tc.LFLF.3.17,stool,,Male,LFLF,1/26/24,10:30,Taconic,CDD01,17,T,F,25.5,22.1,-13.33333333,89,,,,,,,,,
CDD01.CR.Chow.1.17,stool,,Male,Chow,1/26/24,16:30,CharlesRiver,CDD01,17,T,F,23.6,22.7,-3.813559322,88.1,,,,,,,,,
CDD01.CR.Chow.2.17,stool,,Male,Chow,1/26/24,10:30,CharlesRiver,CDD01,17,swab,F,21.8,19.6,-10.09174312,87.4,,,,,,,,,
CDD01.CR.LFLF.1.17,stool,,Male,LFLF,1/26/24,10:30,CharlesRiver,CDD01,17,T,F,23.6,24.3,2.966101695,88.8,,,,,,,,,
CDD01.CR.LFLF.2.17,stool,,Male,LFLF,1/26/24,10:30,CharlesRiver,CDD01,17,T,F,22.6,22.4,-0.884955752,91.9,,,,,,,,,
CDD01.CR.LFLF.3.17,stool,,Male,LFLF,1/26/24,10:30,CharlesRiver,CDD01,17,T,F,23.3,23.7,1.716738197,87.8,,,,,,,,,
