"MouseID","Diet","Treatment","Measure","Value","Units","MeasureLabel"
"CDD02.CR.HFLF.4","HFLF","CR","BUN",181.187676,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.4","HFLF","CR","sCD14",250909.566,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IFN-y",0.383589796,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-1B",9.1370758,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-2",0.153471113,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-4",0.185845301,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-5",0.677331289,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-6",466.673396,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","KC-GRO",1997.362787,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-10",48.18693619,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","TNF-a",46.25867539,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","BUN",54.43602656,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFHF.2","LFHF","CR","sCD14",184480.1367,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IFN-y",1.27386502,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-1B",8.179060344,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-2",1.813925328,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-5",2.848018704,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-6",1002.742378,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","KC-GRO",744.0712999,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-10",30.50202042,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","IL-12p70",10.14249227,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFHF.2","LFHF","CR","TNF-a",23.90670246,"pg/mL","TNF-a (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","BUN",106.0819071,"mg/dL","BUN (mg/dL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","sCD14",354050.2339,"pg/mL","sCD14 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IFN-y",0.684981779,"pg/mL","IFN-y (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-1B",11.97028029,"pg/mL","IL-1B (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-2",3.71165147,"pg/mL","IL-2 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.Tc.HFHF.3","HFHF","Tc","IL-5",4.32383582,"pg/mL","IL-5 (pg/mL)"
