sampleid	seq_depth
CDD02.Tc.HFHF.3.18	31960
CDD02.Tc.HFHF.4.00	42595
CDD02.Tc.HFHF.4.18	25126
CDD02.Tc.HFHF.5.00	72549
CDD02.Tc.HFHF.5.18	26049
CDD02.Tc.HFLF.1.00	47410
CDD02.Tc.HFLF.1.18	48337
CDD02.Tc.HFLF.2.00	45775
CDD02.Tc.HFLF.2.18	50212
CDD02.Tc.HFLF.3.00	62859
CDD02.Tc.HFLF.3.18	48011
CDD02.Tc.HFLF.4.00	52843
CDD02.Tc.HFLF.4.18	19984
CDD02.Tc.HFLF.5.00	41708
CDD02.Tc.HFLF.5.18	51050
CDD02.Tc.LFHF.1.00	38985
CDD02.Tc.LFHF.1.18	73245
CDD02.Tc.LFHF.2.00	73611
CDD02.Tc.LFHF.2.18	61615
CDD02.Tc.LFHF.3.00	55243
CDD02.Tc.LFHF.3.18	44122
CDD02.Tc.LFHF.4.00	49475
CDD02.Tc.LFHF.4.18	41964
CDD02.Tc.LFHF.5.00	30759
CDD02.Tc.LFHF.5.18	4491
CDD02.Tc.LFLF.1.00	58550
CDD02.Tc.LFLF.1.18	63827
CDD02.Tc.LFLF.2.00	102011
CDD02.Tc.LFLF.2.18	49524
CDD02.Tc.LFLF.3.00	41523
CDD02.Tc.LFLF.3.18	53111
CDD02.Tc.LFLF.4.00	75937
CDD02.Tc.LFLF.4.18	63271
CDD02.Tc.LFLF.5.00	24245
CDD02.Tc.LFLF.5.18	110884
CDD03.CR.Chow.1.00	70432
CDD03.CR.Chow.1.18	36498
CDD03.CR.Chow.2.00	50689
CDD03.CR.Chow.2.18	70305
CDD03.CR.Chow.3.00	56748
CDD03.CR.Chow.3.18	43164
CDD03.CR.Chow.4.00	79328
CDD03.CR.Chow.4.18	14576
CDD03.CR.Chow.5.00	56780
CDD03.CR.Chow.5.18	72644
CDD03.CR.HFHF.1.00	54011
CDD03.CR.HFHF.1.18	38162
CDD03.CR.HFHF.2.00	43737
CDD03.CR.HFHF.2.18	60381
CDD03.CR.HFHF.3.00	68049
CDD03.CR.HFHF.3.18	57115
CDD03.CR.HFHF.4.00	53756
CDD03.CR.HFHF.4.18	60787
CDD03.CR.HFHF.5.00	64330
CDD03.CR.HFHF.5.18	42996
CDD03.CR.HFLF.1.00	52883
CDD03.CR.HFLF.1.18	78272
CDD03.CR.HFLF.2.00	56564
CDD03.CR.HFLF.2.18	49672
CDD03.CR.HFLF.3.00	56493
CDD03.CR.HFLF.3.18	66347
CDD03.CR.HFLF.4.00	54289
CDD03.CR.HFLF.4.18	54934
CDD03.CR.HFLF.5.00	65478
CDD03.CR.HFLF.5.18	73961
CDD03.CR.LFHF.1.00	66434
CDD03.CR.LFHF.1.18	84767
CDD03.CR.LFHF.2.00	56867
CDD03.CR.LFHF.2.18	35800
CDD03.CR.LFHF.3.00	80160
CDD03.CR.LFHF.3.18	65851
CDD03.CR.LFHF.4.00	47901
CDD03.CR.LFHF.4.18	74142
CDD03.CR.LFHF.5.00	57033
CDD03.CR.LFLF.1.00	50167
CDD03.CR.LFLF.1.18	76529
CDD03.CR.LFLF.2.00	76835
CDD03.CR.LFLF.2.18	72361
CDD03.CR.LFLF.3.00	57258
CDD03.CR.LFLF.3.18	61438
CDD03.CR.LFLF.4.00	57393
CDD03.CR.LFLF.4.18	90866
CDD03.CR.LFLF.5.00	32935
CDD03.CR.LFLF.5.18	87084
CDD03.Tc.Chow.1.00	51406
CDD03.Tc.Chow.1.18	63565
CDD03.Tc.Chow.2.00	53618
CDD03.Tc.Chow.2.18	52721
CDD03.Tc.Chow.3.00	62000
CDD03.Tc.Chow.3.18	72040
CDD03.Tc.Chow.4.00	39387
CDD03.Tc.Chow.4.18	107196
CDD03.Tc.Chow.5.00	38275
CDD03.Tc.Chow.5.18	83706
CDD03.Tc.HFHF.1.00	53725
CDD03.Tc.HFHF.1.18	97553
CDD03.Tc.HFHF.2.00	51485
CDD03.Tc.HFHF.2.18	64615
CDD03.Tc.HFHF.3.00	52058
CDD03.Tc.HFHF.3.18	45973
CDD03.Tc.HFHF.4.00	70770
CDD03.Tc.HFHF.4.18	68645
CDD03.Tc.HFHF.5.00	53591
CDD03.Tc.HFHF.5.18	105352
CDD03.Tc.HFLF.1.00	62044
CDD03.Tc.HFLF.1.18	51635
CDD03.Tc.HFLF.2.00	38488
CDD03.Tc.HFLF.3.00	65786
CDD03.Tc.HFLF.3.18	76739
CDD03.Tc.HFLF.4.00	44751
CDD03.Tc.HFLF.4.18	71503
CDD03.Tc.HFLF.5.00	45006
CDD03.Tc.HFLF.5.18	72351
CDD03.Tc.LFHF.1.00	80690
CDD03.Tc.LFHF.1.18	65994
CDD03.Tc.LFHF.2.00	82515
CDD03.Tc.LFHF.2.18	54144
CDD03.Tc.LFHF.3.00	66128
CDD03.Tc.LFHF.3.18	42003
CDD03.Tc.LFHF.4.00	66590
CDD03.Tc.LFHF.4.18	40376
CDD03.Tc.LFHF.5.00	36902
CDD03.Tc.LFHF.5.18	81471
CDD03.Tc.LFLF.1.00	60847
CDD03.Tc.LFLF.1.18	60549
CDD03.Tc.LFLF.2.00	32013
CDD03.Tc.LFLF.2.18	105276
CDD03.Tc.LFLF.3.00	52174
CDD03.Tc.LFLF.3.18	48136
CDD03.Tc.LFLF.4.00	53255
CDD03.Tc.LFLF.4.18	53964
CDD03.Tc.LFLF.5.00	61077
CDD03.Tc.LFLF.5.18	68865
