diet	coef	haz_ratio	p_value	lower_95_ci	upper_95_ci	infection_type
HF/HF	1.7756250077427733	5.903970010381097	0.023204045202132567	1.2744998009648856	27.34944474458944	spores
HF/LF	2.3962107712807126	10.98148608104589	0.00143612408230306	2.5160905821321147	47.928734126104096	spores
LF/HF	1.275217248854989	3.5794789633434894	0.11836440632751238	0.7223610509414649	17.737209989823818	spores
LF/LF	3.179553160355983	24.036010909565547	2.4825325519794805e-5	5.482459424259765	105.37785612936997	spores
HF/LF	1.4424179560997907	4.230913622316762	0.019112353656097578	1.2661477712148743	14.137868017040226	live_culture
LF/LF	1.599674665007333	4.951421291720774	0.005395088286036856	1.6045743933684986	15.279174907333488	live_culture
