term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	1.7671452909956513	0.12495353194349477	17.346635614101274	0.001	***
seq_depth	1	0.457236737205847	0.03233087032475969	4.4883231221025435	0.001	***
high_fat	1	0.22637705277431186	0.01600695338365293	2.2221603768967206	0.028	*
high_fiber	1	0.7396736676859588	0.05230177605310826	7.260777963234115	0.001	***
study	1	0.4930087332299702	0.0348602816134967	4.839467865764185	0.001	***
purified_diet:seq_depth	1	0.13146794119824756	0.009296000546058747	1.2905144147016856	0.19	ns
high_fat:high_fiber	1	0.14025938085962553	0.009917636719470593	1.3768128651496159	0.157	ns
Residual	100	10.187250890075303	0.7203329494159586	NA	NA	
Total	107	14.14241969402491	1	NA	NA	
