term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	7.391869046939187	0.08508749287166534	14.294553746411458	0.001	***
seq_depth	1	11.988265818355812	0.13799642226959644	23.18316368682341	0.001	***
high_fat	1	1.0967930414311873	0.012625138446292077	2.1210017358086435	0.084	+
high_fiber	1	3.30367419435445	0.03802845432967147	6.388715496980689	0.001	***
study	1	3.1511090592956172	0.03627228349393968	6.093681790474477	0.001	***
purified_diet:seq_depth	1	0.8670969221413429	0.00998111610382151	1.6768104897677782	0.155	ns
high_fat:high_fiber	1	3.744073094606158	0.043097867498100496	7.240368267008493	0.001	***
Residual	107	55.330862512658015	0.6369112249869132	NA	NA	
Total	114	86.87374368978175	1	NA	NA	
