term	estimate	std.error	statistic	p.value
(Intercept)	17.348599093483664	1.6754455795134826	10.354618082266429	8.095414301812038e-23
dietHF/HF	-7.4598215849690135	1.279018858759357	-5.832456287786882	1.0034514514717248e-8
dietHF/LF	-5.1487482253065755	1.375315220077371	-3.743685920248103	2.0327533690639202e-4
dietLF/HF	-7.52215558174171	1.2718389910938628	-5.914392965159981	6.326077805496828e-9
dietLF/LF	-6.169433046983197	1.3184046010683987	-4.679468686610816	3.7443665037956873e-6
day_post_inf	-1.1689984032628231	0.2411433042379601	-4.847733205601496	1.6882190424592727e-6
seq_depth	6.5514891156586e-5	3.5945003868260945e-5	1.8226424845216096	0.06897823644870896
day_post_inf:seq_depth	-3.158038724758993e-5	6.366148930051507e-6	-4.960673649734176	9.761285951377402e-7
