day_post_inf	term	estimate	std.error	statistic	p.value
-8	(Intercept)	3.674866568869293	0.5675234027233613	6.475268775234284	3.783303585795471e-9
-3	(Intercept)	1.4926401169667491	0.6676386802406007	2.235700478631403	0.02748751264791979
-3	dietHF/LF	2.065947140389752	0.7028488781598096	2.939390251000741	0.004044498791054673
-3	dietHF/LF:seq_depth	-1.5318343555958212e-4	2.5951813040876035e-5	-5.902610169020053	4.438710107907528e-8
-3	dietLF/LF:seq_depth	-5.9476475860619116e-5	1.8590854759277284e-5	-3.199232990131286	0.0018223075005764234
0	(Intercept)	2.253945884722154	0.5720162667457562	3.940352776233135	1.468342526919643e-4
3	(Intercept)	3.4348448513592555	0.6914374267830403	4.967687195268131	5.697356016355544e-5
3	dietHF/HF	-1.2742828769879513	0.5424842931911771	-2.3489765380891514	0.028216428027945467
3	dietLF/LF	-3.1798073796144064	1.3237422367571607	-2.4021348653225294	0.025180189189316086
