term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	11.94936961924459	0.23795595185890578	40.646936974163566	0.001	***
seq_depth	1	1.5383518071835027	0.030634249356775663	5.232852522192832	0.001	***
high_fat	1	1.9097748793494471	0.038030650463765074	6.4962840408534595	0.001	***
high_fiber	1	3.427039634115669	0.0682449789552784	11.657406913877544	0.001	***
study	1	1.4815039565083516	0.02950219931149523	5.0394790575551545	0.004	**
purified_diet:seq_depth	1	0.24255959603131672	0.004830254766175059	0.8250899358310072	0.495	ns
high_fat:high_fiber	1	0.2701714132429842	0.0053801077254955875	0.9190142037804427	0.446	ns
Residual	100	29.397958391895493	0.5854216075621094	NA	NA	
Total	107	50.21672929757135	1	NA	NA	
