#SampleID	faith_pd
1_0403_9685	45.07452191712906
1_0403_9686	46.29878420552325
1_0403_9687	63.31578695267962
1_0403_9688	45.41309177107053
1_0403_9689	48.73530004240001
1_0403_9690	47.36035866783354
1_0403_9691	41.8462685315788
1_0403_9692	44.47692526100826
1_0403_9693	43.71375544838503
1_0403_9694	38.88840278556745
1_0403_9695	53.61047465661545
1_0403_9696	45.75454040673213
1_0403_9697	42.89795331054233
1_0403_9698	41.81114336082982
1_0403_9699	41.8632202716496
1_0410_9685	46.34919876568739
1_0410_9686	47.25611034692213
1_0410_9687	39.34477395950762
1_0410_9688	45.70414916005814
1_0410_9689	44.57174810150582
1_0410_9690	43.5187689911894
1_0410_9691	40.48668155068623
1_0410_9692	43.27665995978538
1_0410_9693	45.90609248649668
1_0410_9694	41.40107968082816
1_0410_9695	48.40418102271667
1_0410_9696	44.18000606689554
1_0410_9697	38.95656521644173
1_0410_9698	44.72005733354894
1_0410_9699	51.81545608549368
1_0415_9687	14.84456875181121
1_0415_9689	12.17656593259483
1_0415_9690	8.490683732730872
1_0415_9691	7.256554084715333
1_0415_9693	13.29191782632358
1_0415_9694	9.084388732189495
1_0415_9695	9.223247876141443
1_0415_9696	8.210430274309147
1_0415_9698	5.364045655534085
1_0415_9699	12.61480233507473
1_0415_9735	4.808752364877478
1_0415_9736	6.276329861476938
1_0415_9737	11.37215574648388
1_0415_9738	13.11419646676552
1_0415_9739	13.69701944697886
1_0418_9687	13.11363828084365
1_0418_9689	15.92068640559808
1_0418_9690	16.2252538498492
1_0418_9691	12.62336960951285
1_0418_9692	10.36210017505863
1_0418_9693	11.53739429797253
1_0418_9694	10.24120295997318
1_0418_9695	17.52017512367496
1_0418_9696	11.90303882069708
1_0418_9698	10.27602072341915
1_0418_9699	12.49632189629529
1_0418_9736	10.70819563387516
1_0418_9737	15.99495176519275
1_0418_9738	16.47897162043051
1_0418_9739	18.51100637220952
2_0418_9740	53.71999985396113
2_0418_9741	48.24482933323202
2_0418_9742	54.97001990185291
2_0418_9743	53.18691241208148
2_0418_9744	44.7416888778834
2_0418_9745	40.44689165417094
2_0418_9746	45.69826840863766
2_0418_9747	59.45291944517118
2_0418_9748	54.68317991317102
2_0418_9749	50.72792947097005
2_0418_9750	49.62604752615806
2_0418_9751	48.82182147097376
2_0418_9752	52.91992988152418
2_0418_9753	53.56307296582185
2_0418_9754	41.56459923272331
2_0425_9740	55.81292390077004
2_0425_9741	50.33304869489405
2_0425_9742	52.62565183997361
2_0425_9743	64.57163877196217
2_0425_9744	59.45462545656585
2_0425_9745	48.69120508089821
2_0425_9746	49.03298378661611
2_0425_9747	47.88567538565133
2_0425_9748	38.956214276102
2_0425_9749	43.10399719770749
2_0425_9750	42.17519405547569
2_0425_9755	49.91636349834022
2_0425_9756	44.33822920425098
2_0425_9757	46.69723510240925
2_0425_9758	40.90771768772436
2_0430_9740	25.05081355959868
2_0430_9741	18.13870327495573
2_0430_9742	16.19905523262861
2_0430_9743	23.13093313755024
2_0430_9744	20.54544987242724
2_0430_9745	12.94487586680418
2_0430_9746	11.10961907529543
2_0430_9747	5.214007224858506
2_0430_9748	10.41716705224985
2_0430_9749	10.76425690457324
2_0430_9750	8.183527091271856
2_0430_9755	7.016229850615048
2_0430_9756	10.1453434395944
2_0430_9757	10.93772273630657
2_0430_9758	7.452979900228911
2_0503_9740	24.2094415299066
2_0503_9741	23.25147225989036
2_0503_9742	25.32493379213443
2_0503_9743	24.99247255631195
2_0503_9744	24.26282255783735
2_0503_9745	14.73984693093644
2_0503_9746	15.49436663693706
2_0503_9747	15.75703867440933
2_0503_9748	14.21673060978037
2_0503_9749	15.98191625253401
2_0503_9750	10.64699888257957
2_0503_9755	10.66760711140716
2_0503_9756	14.98545724684669
2_0503_9757	11.89331603501756
2_0503_9758	14.96684139908234
3_0516_9831	51.62646805253516
3_0516_9832	46.41273961719889
3_0516_9833	46.28469549212409
3_0516_9834	47.43091278481285
3_0516_9835	45.7686261608178
3_0516_9836	39.39085958224612
3_0516_9837	41.48425717366564
3_0516_9838	37.85064625721566
3_0516_9839	48.90611221995013
3_0516_9840	42.9387208926766
3_0516_9841	31.36377805208866
3_0516_9842	40.14968917312169
3_0516_9843	38.88759252885833
3_0516_9844	42.07094501229344
3_0516_9845	52.72643472988887
3_0516_9846	45.16224180277106
3_0516_9847	43.02468657014185
3_0516_9849	46.81158975272913
3_0516_9851	39.24008624928854
3_0523_9831	34.63723880435879
3_0523_9832	33.83899709065918
3_0523_9835	30.04869824751751
3_0523_9836	31.9802801509145
3_0523_9837	33.88739323215202
3_0523_9838	34.38325888964573
3_0523_9839	31.52653168407096
3_0523_9840	34.26897170555816
3_0523_9841	35.13498646639829
3_0523_9842	38.72332474767342
3_0523_9843	37.33272053084664
3_0523_9844	32.9891043036007
3_0523_9845	36.7986887553098
3_0523_9846	31.83765440905375
3_0523_9847	35.20170730747009
3_0523_9848	31.56361553416548
3_0523_9859	33.04113765842536
33.9831.0528	8.35399803109641
33.9832.0528	7.630242950587387
33.9833.0528	9.735123393237302
33.9834.0528	14.9010543357611
33.9835.0528	9.114500618449824
33.9836.0528	6.08669364016464
33.9837.0528	7.391407556944614
33.9838.0528	12.94491102636999
33.9839.0528	13.48757674489559
33.9840.0528	12.68944946175981
33.9841.0528	14.4629882395007
33.9842.0528	10.06969686948719
33.9843.0528	11.46850041090084
33.9844.0528	13.18798216807625
33.9845.0528	8.418132232879771
33.9846.0528	18.84004586890205
33.9847.0528	9.232905672291224
33.9848.0528	17.67804145034256
33.9849.0528	11.4073226587131
33.9857.0528	12.57770698285253
34.9831.0531	12.81005879105709
34.9832.0531	7.878604673101052
34.9834.0531	11.80445666170698
34.9835.0531	9.797137502121984
34.9836.0531	9.720135059022709
34.9837.0531	8.309907104675119
34.9838.0531	5.430300368028441
34.9839.0531	8.233804635861532
34.9840.0531	7.943449368009794
34.9841.0531	9.189262039298001
34.9843.0531	7.345691035274854
34.9844.0531	9.650375821771377
34.9845.0531	7.176788600630687
34.9846.0531	9.767895511819745
34.9847.0531	7.304708183139894
34.9848.0531	10.56668047428377
34.9849.0531	7.166946301410178
34.9851.0531	7.61351127685225
41.9871.0530	43.51846805237153
41.9872.0530	49.11030895902729
41.9873.0530	57.83011902616585
41.9874.0530	50.05853009961243
41.9875.0530	39.88708701166229
41.9876.0530	60.84305439512093
41.9877.0530	58.04503248107414
41.9878.0530	61.96455051589771
41.9879.0530	44.00526253876598
41.9880.0530	46.16982081183176
41.9881.0530	52.17654165411722
41.9882.0530	46.67295900874535
41.9883.0530	55.49341997247035
41.9884.0530	51.15180016318601
41.9885.0530	37.53511858435479
41.9886.0530	31.90738809244874
41.9887.0530	47.41423712509618
41.9888.0530	37.6965273859056
41.9889.0530	50.79310679738938
41.9890.0530	53.89715274685977
42.9871.0606	37.59117890645678
42.9872.0606	45.11862224734415
42.9873.0606	46.24301065688064
42.9874.0606	44.47754096976121
42.9875.0606	34.78021778336654
42.9876.0606	44.466799039617
42.9877.0606	50.33364213758222
42.9878.0606	46.00186197397352
42.9879.0606	43.42776569126011
