sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
Chow1.050622	K00929	d0a08a6ccc08f2e5fff18d2211c5109e	191	0.25219288979778093	1	191	0.25219288979778093	0.01079604130079297
Chow1.050622	K00929	e56f4811fde1d775e91b7429dddfc304	118	0.15580503139339347	1	118	0.15580503139339347	0.00666980562038518
Chow1.050622	K00929	efe6d368dc9bc431d6aaaf795ab9df54	93	0.1227954908439457	1	93	0.1227954908439457	0.00525671120928663
Chow1.050622	K00929	f5db17dce08a55088ceecbd2ac34df49	24	0.03168915892746985	1	24	0.03168915892746985	0.00135657063465461
Chow1.050622	K00929	fe4c45af45a1ced6777398479ca5025b	9	0.01188343459780119	1	9	0.01188343459780119	5.0871398799548e-4
Chow1.050622	K01034	078d1e0322d964e9ce0945b108d2525e	49	0.06469869947691761	1	49	0.06469869947691761	0.02289537747001406
Chow1.050622	K01034	0c7d1f89bd81138294da46f001b6710a	82	0.10827129300218868	1	82	0.10827129300218868	0.03831471331716639
Chow1.050622	K01034	0ec2e0ccb96997982b7f8741fd743219	38	0.05017450163516061	1	38	0.05017450163516061	0.01775559885429662
Chow1.050622	K01034	343041f8768862350e157e72fdead68d	324	0.42780364552084305	1	324	0.42780364552084305	0.15138984286295012
Chow1.050622	K01034	3bc0d26f0f3b6649efea6baf46febf16	315	0.4159202109230419	2	630	0.8318404218460838	0.2943691389001808
Chow1.050622	K01034	60d38a56c64b47899fa21068df22d7b2	60	0.07922289731867464	1	60	0.07922289731867464	0.0280351560857315
Chow1.050622	K01034	6a0f79733f56aa0089569a95136bf180	20	0.02640763243955821	1	20	0.02640763243955821	0.00934505202857716
Chow1.050622	K01034	6e44ead3f2ba90c2d92aa0865aa62d2c	118	0.15580503139339347	2	236	0.31161006278678693	0.1102716139372106
Chow1.050622	K01034	7044780b55e75992e1baa09eb8412297	477	0.6298220336834635	1	477	0.6298220336834635	0.22287949088156547
Chow1.050622	K01034	747f2349a5e05816a56c75007ae79e3e	47	0.0620579362329618	1	47	0.0620579362329618	0.02196087226715634
Chow1.050622	K01034	878cc308f7004cc5abe4aa5f53d74284	15.5	0.02046591514065761	1	15.5	0.02046591514065761	0.0072424153221473
Chow1.050622	K01034	9677010f7d64a2907fe7088970a9e268	13	0.01716496108571284	1	13	0.01716496108571284	0.00607428381857516
Chow1.050622	K01034	ca344e0c09ed83afd9798f6e0febcc31	148.67	0.19630113573945596	1	148.67	0.19630113573945596	0.06946644425442838
Chow1.050622	K15873	0242e9db67c7b7776f27ab2c1bcd1459	24	0.03168915892746985	1	24	0.03168915892746985	0.6075949367088608
Chow1.050622	K15873	afa948719de108054c53424f996b0a60	15.5	0.02046591514065761	1	15.5	0.02046591514065761	0.3924050632911392
Chow1.070122	K00929	343041f8768862350e157e72fdead68d	9741	15.685823628927617	3	29223	47.057470886782845	0.5796990476613667
Chow1.070122	K00929	3bc0d26f0f3b6649efea6baf46febf16	1928	3.104636891137711	2	3856	6.209273782275422	0.07649178824152997
Chow1.070122	K00929	5eefe1c67a4852bd62c90dbcd2053008	82	0.13204368520398976	2	164	0.2640873704079795	0.00325328145010656
Chow1.070122	K00929	853bc0df4f511a52189a133d996cd9fb	62	0.09983790832496788	1	62	0.09983790832496788	0.00122989908479638
Chow1.070122	K00929	88ab9af7bd6d8a09c14a812cb2082a79	2448	3.94198708999228	1	2448	3.94198708999228	0.04856117676744433
Chow1.070122	K00929	bcaa663b6ba40455634757464f104af0	26	0.04186750994272846	1	26	0.04186750994272846	5.1576413233396e-4
Chow1.070122	K00929	ca344e0c09ed83afd9798f6e0febcc31	92	0.1481465736435007	1	92	0.1481465736435007	0.00182501154518173
Chow1.070122	K00929	eae0738ba858df2d22433de0913bc58c	4.14	0.00666659581395753	1	4.14	0.00666659581395753	8.212551953317792e-5
Chow1.070122	K00929	f01167cfcdeab9665a07bcb664e714e9	17	0.02737491034716861	1	17	0.02737491034716861	3.3723039421836e-4
Chow1.070122	K00929	fe4c45af45a1ced6777398479ca5025b	14518.5	23.37897858090397	1	14518.5	23.37897858090397	0.28800467520348877
Chow1.070122	K01034	343041f8768862350e157e72fdead68d	9741	15.685823628927617	1	9741	15.685823628927617	0.6977793696275072
