term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	16.032184789256377	0.11091966935253954	73.34184653037934	0.001	***
high_fat	1	0.3936264074338638	0.00272332882479315	1.8007082592801162	0.075	+
high_fiber	1	1.8004259457007237	0.012456359081182998	8.236342403399924	0.001	***
study	1	3.923325337294564	0.027143770789541808	17.947892227978315	0.001	***
high_fat:high_fiber	1	0.19435055176377247	0.0013446264014226822	0.8890883262588875	0.496	ns
Residual	559	122.19478675768161	0.8454122455505199	NA	NA	
Total	564	144.5386997891309	1	NA	NA	
