sample_name
12849.AM.LF.1.0107
12849.AM.LF.1.0116
12849.AM.LF.1.0122
12849.AM.LF.1.0123
12849.AM.LF.1.0124
12849.AM.LF.1.0125
12849.AM.LF.1.0126
12849.AM.LF.1.0127
12849.AM.LF.2.0107
12849.AM.LF.2.0116
12849.AM.LF.2.0122
12849.AM.LF.2.0123
12849.AM.LF.2.0124
12849.AM.LF.2.0125
12849.AM.LF.2.0126
12849.AM.LF.2.0127
12849.AM.LF.3.0107
12849.AM.LF.3.0116
12849.AM.LF.3.0122
12849.AM.LF.3.0123
12849.AM.LF.3.0124
12849.AM.LF.3.0125
12849.AM.LF.3.0126
12849.AM.LF.3.0127
12849.AM.LF.6.0107
12849.AM.LF.6.0116
12849.AM.LF.6.0122
12849.AM.LF.6.0123
12849.AM.LF.6.0124
12849.AM.LF.6.0126
12849.AM.LF.6.0127
12849.AM.LF.7.0107
12849.AM.LF.7.0116
12849.AM.LF.7.0122
12849.AM.LF.7.0123
12849.AM.LF.7.0124
12849.AM.LF.7.0125
12849.AM.LF.7.0126
12849.AM.LF.7.0127
12849.AM.S3.CH.1.0108
12849.AM.S3.CH.1.0117
12849.AM.S3.CH.1.0122
12849.AM.S3.CH.1.0123
12849.AM.S3.CH.1.0124
12849.AM.S3.CH.1.0125
12849.AM.S3.CH.1.0126
12849.AM.S3.CH.1.0127
12849.AM.S3.CH.2.0108
12849.AM.S3.CH.2.0117
12849.AM.S3.CH.2.0122
12849.AM.S3.CH.2.0123
12849.AM.S3.CH.2.0124
12849.AM.S3.CH.2.0125
12849.AM.S3.CH.2.0126
12849.AM.S3.CH.2.0127
12849.AM.S3.CH.3.0108
12849.AM.S3.CH.3.0117
12849.AM.S3.CH.3.0122
12849.AM.S3.CH.3.0123
12849.AM.S3.CH.3.0124
12849.AM.S3.CH.3.0125
12849.AM.S3.CH.3.0126
12849.AM.S3.CH.3.0127
12849.AM.S3.CH.4.0108
12849.AM.S3.CH.4.0117
12849.AM.S3.CH.4.0122
12849.AM.S3.CH.4.0123
12849.AM.S3.CH.4.0124
12849.AM.S3.CH.4.0125
12849.AM.S3.CH.4.0126
12849.AM.S3.CH.4.0127
12849.AM.S3.CH.5.0108
12849.AM.S3.CH.5.0117
12849.AM.S3.CH.5.0122
12849.AM.S3.CH.5.0123
12849.AM.S3.CH.5.0124
12849.AM.S3.CH.5.0125
12849.AM.S3.CH.5.0126
12849.AM.S3.CH.5.0127
