diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
Chow	1_0410_9685	-8	colon	9685	0	0	0	40496	barrier_2	1
Chow	1_0403_9688	-15	colon	9688	0	0	0	38151	barrier_2	1
Chow	1_0410_9688	-8	colon	9688	0	0	0	39652	barrier_2	1
Chow	1_0415_9739	-3	colon	9688	0	0	0	50377	barrier_2	1
Chow	1_0418_9739	0	colon	9688	0	0	0	44055	barrier_2	1
Chow	1_0403_9690	-15	colon	9690	0	0	0	42394	barrier_2	1
Chow	1_0410_9690	-8	colon	9690	0	0	0	35763	barrier_2	1
Chow	1_0415_9690	-3	colon	9690	0	0	0	32337	barrier_2	1
Chow	1_0418_9690	0	colon	9690	0	0	0	54974	barrier_2	1
Chow	1_0403_9695	-15	colon	9695	0	0	0	37477	barrier_2	1
Chow	1_0410_9695	-8	colon	9695	0	0	0	33120	barrier_2	1
Chow	1_0415_9738	-3	colon	9685	0	0	0	45272	barrier_2	1
Chow	1_0415_9695	-3	colon	9695	0	0	0	37438	barrier_2	1
Chow	1_0418_9695	0	colon	9695	0	0	0	48318	barrier_2	1
Chow	1_0418_9738	0	colon	9685	0	0	0	61729	barrier_2	1
Chow	1_0403_9696	-15	colon	9696	0	0	0	40642	barrier_2	1
Chow	1_0410_9696	-8	colon	9696	0	0	0	31529	barrier_2	1
Chow	1_0415_9696	-3	colon	9696	0	0	0	37943	barrier_2	1
Chow	1_0418_9696	0	colon	9696	0	0	0	46990	barrier_2	1
Chow	2_0418_9740	-15	colon	9740	0	0	0	39052	barrier_2	2
Chow	2_0425_9740	-8	colon	9740	0	0	0	39932	barrier_2	2
Chow	2_0430_9740	-3	colon	9740	0	0	0	51208	barrier_2	2
Chow	2_0503_9740	0	colon	9740	0	0	0	40565	barrier_2	2
Chow	2_0418_9741	-15	colon	9741	0	0	0	38891	barrier_2	2
Chow	2_0425_9741	-8	colon	9741	0	0	0	52548	barrier_2	2
Chow	2_0430_9741	-3	colon	9741	0	0	0	61435	barrier_2	2
Chow	2_0503_9741	0	colon	9741	0	0	0	40261	barrier_2	2
Chow	2_0418_9742	-15	colon	9742	0	0	0	42301	barrier_2	2
Chow	2_0425_9742	-8	colon	9742	0	0	0	37408	barrier_2	2
Chow	2_0430_9742	-3	colon	9742	0	0	0	36182	barrier_2	2
Chow	2_0503_9742	0	colon	9742	0	0	0	42655	barrier_2	2
Chow	2_0418_9743	-15	colon	9743	0	0	0	38789	barrier_2	2
Chow	2_0425_9743	-8	colon	9743	0	0	0	54744	barrier_2	2
Chow	2_0430_9743	-3	colon	9743	0	0	0	45658	barrier_2	2
Chow	2_0503_9743	0	colon	9743	0	0	0	49505	barrier_2	2
Chow	2_0418_9744	-15	colon	9744	0	0	0	32586	barrier_2	2
Chow	2_0425_9744	-8	colon	9744	0	0	0	41592	barrier_2	2
Chow	2_0430_9744	-3	colon	9744	0	0	0	39770	barrier_2	2
Chow	2_0503_9744	0	colon	9744	0	0	0	44753	barrier_2	2
LF/LF	3_0516_9841	-15	colon	9841	0	0	0	22206	barrier_1	3
LF/LF	3_0523_9841	-8	colon	9841	0	0	1	36571	barrier_1	3
LF/LF	3_0516_9843	-15	colon	9843	0	0	0	36050	barrier_1	3
LF/LF	3_0523_9843	-8	colon	9843	0	0	1	48769	barrier_1	3
LF/LF	3_0516_9844	-15	colon	9844	0	0	0	27826	barrier_1	3
LF/LF	3_0523_9844	-8	colon	9844	0	0	1	44796	barrier_1	3
LF/LF	3_0516_9845	-15	colon	9845	0	0	0	39455	barrier_1	3
