diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
HF/LF	62.9972.0704	-8	colon	9972	1	0	1	40135	barrier_2	6
HF/LF	63.9972.0709	-3	colon	9972	1	0	1	228	barrier_2	6
HF/LF	64.9972.0712	0	colon	9972	1	0	1	2115	barrier_2	6
HF/LF	61.9973.0627	-15	colon	9973	0	0	0	35764	barrier_2	6
HF/LF	62.9973.0704	-8	colon	9973	1	0	1	34776	barrier_2	6
HF/LF	63.9973.0709	-3	colon	9973	1	0	1	582	barrier_2	6
HF/LF	64.9973.0712	0	colon	9973	1	0	1	317	barrier_2	6
HF/LF	61.9974.0627	-15	colon	9974	0	0	0	32533	barrier_2	6
HF/LF	62.9974.0704	-8	colon	9974	1	0	1	47706	barrier_2	6
HF/LF	63.9974.0709	-3	colon	9974	1	0	1	411	barrier_2	6
HF/LF	64.9974.0712	0	colon	9974	1	0	1	955	barrier_2	6
HF/LF	61.9975.0627	-15	colon	9975	0	0	0	41796	barrier_2	6
HF/LF	62.9975.0704	-8	colon	9975	1	0	1	40482	barrier_2	6
HF/LF	63.9975.0709	-3	colon	9975	1	0	1	956	barrier_2	6
HF/LF	64.9975.0712	0	colon	9975	1	0	1	1967	barrier_2	6
LF/HF	73.98.0813	-3	colon	98	0	1	1	48644	barrier_1	7
LF/HF	74.100.0816	-8	colon	100	0	1	1	40670	barrier_1	7
HF/HF	73.103.0813	-3	colon	103	1	1	1	68005	barrier_1	7
LF/HF	33.9831.0528	-3	colon	9831	0	1	1	40120	barrier_1	3
LF/HF	34.9831.0531	0	colon	9831	0	1	1	41805	barrier_1	3
LF/HF	33.9832.0528	-3	colon	9832	0	1	1	39683	barrier_1	3
LF/HF	34.9832.0531	0	colon	9832	0	1	1	30000	barrier_1	3
LF/HF	33.9833.0528	-3	colon	9833	0	1	1	24435	barrier_1	3
LF/HF	33.9834.0528	-3	colon	9834	0	1	1	44962	barrier_1	3
LF/HF	34.9834.0531	0	colon	9834	0	1	1	27894	barrier_1	3
LF/HF	33.9835.0528	-3	colon	9835	0	1	1	43323	barrier_1	3
LF/HF	34.9835.0531	0	colon	9835	0	1	1	47260	barrier_1	3
HF/HF	33.9836.0528	-3	colon	9836	1	1	1	28451	barrier_1	3
HF/HF	34.9836.0531	0	colon	9836	1	1	1	36553	barrier_1	3
HF/HF	33.9837.0528	-3	colon	9837	1	1	1	23405	barrier_1	3
HF/HF	34.9837.0531	0	colon	9837	1	1	1	66805	barrier_1	3
HF/HF	33.9838.0528	-3	colon	9838	1	1	1	18062	barrier_1	3
HF/HF	34.9838.0531	0	colon	9838	1	1	1	24549	barrier_1	3
HF/HF	33.9839.0528	-3	colon	9839	1	1	1	29078	barrier_1	3
HF/HF	34.9839.0531	0	colon	9839	1	1	1	44390	barrier_1	3
HF/HF	33.9840.0528	-3	colon	9840	1	1	1	63482	barrier_1	3
HF/HF	34.9840.0531	0	colon	9840	1	1	1	24066	barrier_1	3
LF/LF	33.9841.0528	-3	colon	9841	0	0	1	1227	barrier_1	3
LF/LF	34.9841.0531	0	colon	9841	0	0	1	18535	barrier_1	3
LF/LF	33.9842.0528	-3	colon	9842	0	0	1	1812	barrier_1	3
LF/LF	33.9843.0528	-3	colon	9843	0	0	1	858	barrier_1	3
LF/LF	34.9843.0531	0	colon	9843	0	0	1	22373	barrier_1	3
LF/LF	33.9844.0528	-3	colon	9844	0	0	1	518	barrier_1	3
LF/LF	34.9844.0531	0	colon	9844	0	0	1	21276	barrier_1	3
LF/LF	33.9845.0528	-3	colon	9845	0	0	1	265	barrier_1	3
LF/LF	34.9845.0531	0	colon	9845	0	0	1	28397	barrier_1	3
HF/LF	33.9846.0528	-3	colon	9846	1	0	1	6470	barrier_1	3
HF/LF	34.9846.0531	0	colon	9846	1	0	1	3088	barrier_1	3
HF/LF	33.9847.0528	-3	colon	9847	1	0	1	1346	barrier_1	3
HF/LF	34.9847.0531	0	colon	9847	1	0	1	8920	barrier_1	3
HF/LF	33.9848.0528	-3	colon	9848	1	0	1	6428	barrier_1	3
HF/LF	34.9848.0531	0	colon	9848	1	0	1	694	barrier_1	3
HF/LF	33.9849.0528	-3	colon	9849	1	0	1	878	barrier_1	3
HF/LF	34.9849.0531	0	colon	9849	1	0	1	190	barrier_1	3
HF/LF	34.9851.0531	0	colon	9851	1	0	1	640	barrier_1	3
HF/LF	33.9857.0528	-3	colon	9851	1	0	1	2599	barrier_1	3
LF/HF	41.9871.0530	-15	colon	9871	0	0	0	33408	barrier_2	4
LF/HF	42.9871.0606	-8	colon	9871	0	1	1	32610	barrier_2	4
LF/HF	43.9871.0611	-3	colon	9871	0	1	1	26939	barrier_2	4
LF/HF	44.9871.0614	0	colon	9871	0	1	1	52938	barrier_2	4
LF/HF	41.9872.0530	-15	colon	9872	0	0	0	31166	barrier_2	4
LF/HF	42.9872.0606	-8	colon	9872	0	1	1	38613	barrier_2	4
LF/HF	43.9872.0611	-3	colon	9872	0	1	1	38159	barrier_2	4
LF/HF	44.9872.0614	0	colon	9872	0	1	1	59714	barrier_2	4
LF/HF	41.9873.0530	-15	colon	9873	0	0	0	47626	barrier_2	4
LF/HF	42.9873.0606	-8	colon	9873	0	1	1	40556	barrier_2	4
LF/HF	43.9873.0611	-3	colon	9873	0	1	1	26894	barrier_2	4
LF/HF	44.9873.0614	0	colon	9873	0	1	1	39584	barrier_2	4
LF/HF	41.9874.0530	-15	colon	9874	0	0	0	36647	barrier_2	4
LF/HF	42.9874.0606	-8	colon	9874	0	1	1	45601	barrier_2	4
LF/HF	43.9874.0611	-3	colon	9874	0	1	1	117569	barrier_2	4
LF/HF	44.9874.0614	0	colon	9874	0	1	1	29261	barrier_2	4
LF/HF	41.9875.0530	-15	colon	9875	0	0	0	29424	barrier_2	4
LF/HF	42.9875.0606	-8	colon	9875	0	1	1	23964	barrier_2	4
LF/HF	43.9875.0611	-3	colon	9875	0	1	1	42024	barrier_2	4
LF/HF	44.9875.0614	0	colon	9875	0	1	1	42766	barrier_2	4
HF/HF	41.9876.0530	-15	colon	9876	0	0	0	81632	barrier_2	4
HF/HF	42.9876.0606	-8	colon	9876	1	1	1	39243	barrier_2	4
HF/HF	43.9876.0611	-3	colon	9876	1	1	1	44144	barrier_2	4
HF/HF	44.9876.0614	0	colon	9876	1	1	1	42062	barrier_2	4
HF/HF	41.9877.0530	-15	colon	9877	0	0	0	35808	barrier_2	4
HF/HF	42.9877.0606	-8	colon	9877	1	1	1	39222	barrier_2	4
HF/HF	43.9877.0611	-3	colon	9877	1	1	1	36225	barrier_2	4
HF/HF	44.9877.0614	0	colon	9877	1	1	1	45185	barrier_2	4
HF/HF	41.9878.0530	-15	colon	9878	0	0	0	44003	barrier_2	4
HF/HF	42.9878.0606	-8	colon	9878	1	1	1	49237	barrier_2	4
HF/HF	43.9878.0611	-3	colon	9878	1	1	1	27408	barrier_2	4
HF/HF	44.9878.0614	0	colon	9878	1	1	1	7565	barrier_2	4
HF/HF	41.9879.0530	-15	colon	9879	0	0	0	30920	barrier_2	4
HF/HF	42.9879.0606	-8	colon	9879	1	1	1	42795	barrier_2	4
HF/HF	43.9879.0611	-3	colon	9879	1	1	1	48925	barrier_2	4
HF/HF	44.9879.0614	0	colon	9879	1	1	1	52756	barrier_2	4
HF/HF	41.9880.0530	-15	colon	9880	0	0	0	38429	barrier_2	4
HF/HF	42.9880.0606	-8	colon	9880	1	1	1	36877	barrier_2	4
HF/HF	43.9880.0611	-3	colon	9880	1	1	1	45460	barrier_2	4
HF/HF	44.9880.0614	0	colon	9880	1	1	1	39816	barrier_2	4
LF/LF	41.9881.0530	-15	colon	9881	0	0	0	41749	barrier_2	4
LF/LF	42.9881.0606	-8	colon	9881	0	0	1	24476	barrier_2	4
LF/LF	43.9881.0611	-3	colon	9881	0	0	1	3164	barrier_2	4
LF/LF	44.9881.0614	0	colon	9881	0	0	1	44081	barrier_2	4
LF/LF	41.9882.0530	-15	colon	9882	0	0	0	34891	barrier_2	4
LF/LF	42.9882.0606	-8	colon	9882	0	0	1	34404	barrier_2	4
LF/LF	43.9882.0611	-3	colon	9882	0	0	1	6756	barrier_2	4
LF/LF	44.9882.0614	0	colon	9882	0	0	1	33055	barrier_2	4
LF/LF	41.9883.0530	-15	colon	9883	0	0	0	39647	barrier_2	4
LF/LF	42.9883.0606	-8	colon	9883	0	0	1	27592	barrier_2	4
LF/LF	43.9883.0611	-3	colon	9883	0	0	1	1249	barrier_2	4
LF/LF	44.9883.0614	0	colon	9883	0	0	1	36190	barrier_2	4
LF/LF	41.9884.0530	-15	colon	9884	0	0	0	38177	barrier_2	4
LF/LF	42.9884.0606	-8	colon	9884	0	0	1	31674	barrier_2	4
LF/LF	43.9884.0611	-3	colon	9884	0	0	1	8738	barrier_2	4
LF/LF	44.9884.0614	0	colon	9884	0	0	1	49560	barrier_2	4
LF/LF	41.9885.0530	-15	colon	9885	0	0	0	31885	barrier_2	4
LF/LF	42.9885.0606	-8	colon	9885	0	0	1	36809	barrier_2	4
LF/LF	43.9885.0611	-3	colon	9885	0	0	1	1955	barrier_2	4
LF/LF	44.9885.0614	0	colon	9885	0	0	1	39594	barrier_2	4
HF/LF	41.9886.0530	-15	colon	9886	0	0	0	29996	barrier_2	4
HF/LF	42.9886.0606	-8	colon	9886	1	0	1	29639	barrier_2	4
HF/LF	43.9886.0611	-3	colon	9886	1	0	1	14868	barrier_2	4
HF/LF	44.9886.0614	0	colon	9886	1	0	1	29038	barrier_2	4
HF/LF	41.9887.0530	-15	colon	9887	0	0	0	31800	barrier_2	4
HF/LF	42.9887.0606	-8	colon	9887	1	0	1	25376	barrier_2	4
HF/LF	43.9887.0611	-3	colon	9887	1	0	1	681	barrier_2	4
HF/LF	44.9887.0614	0	colon	9887	1	0	1	20526	barrier_2	4
HF/LF	41.9888.0530	-15	colon	9888	0	0	0	28541	barrier_2	4
HF/LF	42.9888.0606	-8	colon	9888	1	0	1	41745	barrier_2	4
HF/LF	43.9888.0611	-3	colon	9888	1	0	1	3579	barrier_2	4
HF/LF	44.9888.0614	0	colon	9888	1	0	1	11502	barrier_2	4
HF/LF	41.9889.0530	-15	colon	9889	0	0	0	25378	barrier_2	4
HF/LF	42.9889.0606	-8	colon	9889	1	0	1	39622	barrier_2	4
HF/LF	43.9889.0611	-3	colon	9889	1	0	1	18928	barrier_2	4
HF/LF	44.9889.0614	0	colon	9889	1	0	1	23742	barrier_2	4
HF/LF	41.9890.0530	-15	colon	9890	0	0	0	35205	barrier_2	4
HF/LF	42.9890.0606	-8	colon	9890	1	0	1	33901	barrier_2	4
HF/LF	43.9890.0611	-3	colon	9890	1	0	1	15076	barrier_2	4
HF/LF	44.9890.0614	0	colon	9890	1	0	1	34319	barrier_2	4
Chow	51.9939.0613	-15	colon	9939	0	0	0	40213	barrier_2	5
Chow	52.9939.0620	-8	colon	9939	0	0	0	21753	barrier_2	5
Chow	53.9939.0625	-3	colon	9939	0	0	0	33123	barrier_2	5
Chow	54.9939.0628	0	colon	9939	0	0	0	42105	barrier_2	5
Chow	51.9940.0613	-15	colon	9940	0	0	0	34358	barrier_2	5
Chow	52.9940.0620	-8	colon	9940	0	0	0	34671	barrier_2	5
Chow	53.9940.0625	-3	colon	9940	0	0	0	69102	barrier_2	5
Chow	54.9940.0628	0	colon	9940	0	0	0	87658	barrier_2	5
Chow	51.9941.0613	-15	colon	9941	0	0	0	36224	barrier_2	5
Chow	52.9941.0620	-8	colon	9941	0	0	0	38634	barrier_2	5
Chow	53.9941.0625	-3	colon	9941	0	0	0	27050	barrier_2	5
Chow	54.9941.0628	0	colon	9941	0	0	0	45315	barrier_2	5
Chow	51.9942.0613	-15	colon	9942	0	0	0	52045	barrier_2	5
Chow	52.9942.0620	-8	colon	9942	0	0	0	35345	barrier_2	5
Chow	53.9942.0625	-3	colon	9942	0	0	0	43768	barrier_2	5
Chow	54.9942.0628	0	colon	9942	0	0	0	38133	barrier_2	5
Chow	51.9943.0613	-15	colon	9943	0	0	0	56518	barrier_2	5
Chow	52.9943.0620	-8	colon	9943	0	0	0	NA	barrier_2	5
Chow	53.9943.0625	-3	colon	9943	0	0	0	35584	barrier_2	5
Chow	54.9943.0628	0	colon	9943	0	0	0	36649	barrier_2	5
LF/LF	51.9944.0613	-15	colon	9944	0	0	0	44289	barrier_2	5
LF/LF	52.9944.0620	-8	colon	9944	0	0	1	49167	barrier_2	5
LF/LF	53.9944.0625	-3	colon	9944	0	0	1	1493	barrier_2	5
LF/LF	54.9944.0628	0	colon	9944	0	0	1	79537	barrier_2	5
LF/LF	51.9945.0613	-15	colon	9945	0	0	0	37021	barrier_2	5
LF/LF	52.9945.0620	-8	colon	9945	0	0	1	41740	barrier_2	5
LF/LF	53.9945.0625	-3	colon	9945	0	0	1	39585	barrier_2	5
LF/LF	54.9945.0628	0	colon	9945	0	0	1	36297	barrier_2	5
LF/LF	51.9946.0613	-15	colon	9946	0	0	0	25344	barrier_2	5
LF/LF	52.9946.0620	-8	colon	9946	0	0	1	60028	barrier_2	5
LF/LF	53.9946.0625	-3	colon	9946	0	0	1	27586	barrier_2	5
LF/LF	54.9946.0628	0	colon	9946	0	0	1	63496	barrier_2	5
LF/LF	51.9947.0613	-15	colon	9947	0	0	0	52817	barrier_2	5
LF/LF	52.9947.0620	-8	colon	9947	0	0	1	46947	barrier_2	5
LF/LF	53.9947.0625	-3	colon	9947	0	0	1	2175	barrier_2	5
LF/LF	54.9947.0628	0	colon	9947	0	0	1	7670	barrier_2	5
LF/LF	51.9948.0613	-15	colon	9948	0	0	0	37663	barrier_2	5
LF/LF	52.9948.0620	-8	colon	9948	0	0	1	36837	barrier_2	5
LF/LF	53.9948.0625	-3	colon	9948	0	0	1	53233	barrier_2	5
LF/LF	54.9948.0628	0	colon	9948	0	0	1	34433	barrier_2	5
HF/LF	51.9949.0613	-15	colon	9949	0	0	0	35903	barrier_2	5
HF/LF	52.9949.0620	-8	colon	9949	1	0	1	40036	barrier_2	5
HF/LF	53.9949.0625	-3	colon	9949	1	0	1	1777	barrier_2	5
HF/LF	54.9949.0628	0	colon	9949	1	0	1	18838	barrier_2	5
HF/LF	51.9950.0613	-15	colon	9950	0	0	0	32548	barrier_2	5
HF/LF	52.9950.0620	-8	colon	9950	1	0	1	50533	barrier_2	5
HF/LF	53.9950.0625	-3	colon	9950	1	0	1	5586	barrier_2	5
HF/LF	54.9950.0628	0	colon	9950	1	0	1	19358	barrier_2	5
HF/LF	51.9951.0613	-15	colon	9951	0	0	0	36291	barrier_2	5
HF/LF	52.9951.0620	-8	colon	9951	1	0	1	60089	barrier_2	5
HF/LF	53.9951.0625	-3	colon	9951	1	0	1	1509	barrier_2	5
HF/LF	54.9951.0628	0	colon	9951	1	0	1	26669	barrier_2	5
HF/LF	51.9952.0613	-15	colon	9952	0	0	0	37115	barrier_2	5
HF/LF	52.9952.0620	-8	colon	9952	1	0	1	64059	barrier_2	5
HF/LF	53.9952.0625	-3	colon	9952	1	0	1	2808	barrier_2	5
HF/LF	54.9952.0628	0	colon	9952	1	0	1	28191	barrier_2	5
HF/LF	51.9953.0613	-15	colon	9953	0	0	0	64675	barrier_2	5
HF/LF	52.9953.0620	-8	colon	9953	1	0	1	41736	barrier_2	5
HF/LF	53.9953.0625	-3	colon	9953	1	0	1	1215	barrier_2	5
HF/LF	54.9953.0628	0	colon	9953	1	0	1	7836	barrier_2	5
