sample_type,mouse_id,high_fat,high_fiber,purified_diet,facility,study,diet,histopathology,bile_acid,metabolomics,toxin,hypoxia,sequencing
colon,9685,0,0,0,2,1,Chow,0,0,0,0,0,1
colon,9696,0,0,0,2,1,Chow,0,0,0,0,0,1
colon,9696,0,0,0,2,1,Chow,0,0,0,0,0,1
colon,9696,0,0,0,2,1,Chow,0,0,0,0,0,1
colon,9696,0,0,0,2,1,Chow,0,0,0,0,0,1
colon,9740,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9740,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9740,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9740,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9741,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9741,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9741,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9741,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9742,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9742,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9742,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9742,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9743,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9743,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9743,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9743,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9744,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9744,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9744,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9744,0,0,0,2,2,Chow,0,0,0,0,0,1
colon,9841,0,0,0,1,3,LF/LF,0,0,0,0,0,1
colon,9841,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9843,0,0,0,1,3,LF/LF,0,0,0,0,0,1
colon,9843,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9844,0,0,0,1,3,LF/LF,0,0,0,0,0,1
colon,9844,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9845,0,0,0,1,3,LF/LF,0,0,0,0,0,1
colon,9845,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9842,0,0,0,1,3,LF/LF,0,0,0,0,0,1
colon,9842,0,0,1,1,3,LF/LF,0,0,0,0,0,1
colon,9686,0,0,0,2,1,LF/LF,0,0,0,0,0,1
colon,9686,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9686,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9686,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9689,0,0,0,2,1,LF/LF,0,0,0,0,0,1
colon,9689,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9689,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9689,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9692,0,0,0,2,1,LF/LF,0,0,0,0,0,1
colon,9692,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9692,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9692,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9697,0,0,0,2,1,LF/LF,0,0,0,0,0,1
colon,9697,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9697,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9697,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9698,0,0,0,2,1,LF/LF,0,0,0,0,0,1
colon,9698,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9698,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9698,0,0,1,2,1,LF/LF,0,0,0,0,0,1
colon,9745,0,0,0,2,2,LF/HF,0,0,0,0,0,1
colon,9745,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9745,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9745,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9746,0,0,0,2,2,LF/HF,0,0,0,0,0,1
colon,9746,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9746,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9746,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9747,0,0,0,2,2,LF/HF,0,0,0,0,0,1
colon,9747,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9747,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9747,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9748,0,0,0,2,2,LF/HF,0,0,0,0,0,1
colon,9748,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9748,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9748,0,1,1,2,2,LF/HF,0,0,0,0,0,1
colon,9749,0,0,0,2,2,LF/HF,0,0,0,0,0,1
