#SampleID	faith_pd
1_0403_9685	45.07452188620624
1_0403_9686	46.29878418391365
1_0403_9687	63.31578693107002
1_0403_9688	45.41309174014771
1_0403_9689	48.73530002079042
1_0403_9690	47.36035863691072
1_0403_9691	41.84626851552804
1_0403_9692	44.47692523939867
1_0403_9693	43.71375541746221
1_0403_9694	38.88840276951669
1_0403_9695	53.61047462569263
1_0403_9696	45.75454037580931
1_0403_9697	42.89795327961951
1_0403_9698	41.81114334477905
1_0403_9699	41.86322025004
1_0410_9685	46.34919873476457
1_0410_9686	47.25611037017609
1_0410_9687	39.3447739524936
1_0410_9688	45.70414913844854
1_0410_9689	44.57174807961974
1_0410_9690	43.51876896026658
1_0410_9691	40.48668155298543
1_0410_9692	43.2766599378993
1_0410_9693	45.90609243329487
1_0410_9694	41.40107967381414
1_0410_9695	48.40418099179385
1_0410_9696	44.18000604528595
1_0410_9697	38.95656520942771
1_0410_9698	44.72005731749817
1_0410_9699	51.81545606388408
1_0415_9687	14.84456874479719
1_0415_9689	12.1765659255808
1_0415_9690	8.490683725716849
1_0415_9691	7.25655406866457
1_0415_9693	13.29191781930956
1_0415_9694	9.084388725175472
1_0415_9695	9.22324786912742
1_0415_9696	8.210430267295123
1_0415_9698	5.364045648520062
1_0415_9699	12.6148023280607
1_0415_9735	4.808752357863455
1_0415_9736	6.276329854462915
1_0415_9737	11.37215573946986
1_0415_9738	13.11419645071476
1_0415_9739	13.69701944024132
1_0418_9687	13.11363827382962
1_0418_9689	15.92068638954731
1_0418_9690	16.2252538521484
1_0418_9691	12.62336960249883
1_0418_9692	10.36210016804461
1_0418_9693	11.5373942909585
1_0418_9694	10.24120295295916
1_0418_9695	17.52017512597416
1_0418_9696	11.90303881368305
1_0418_9698	10.27602071640513
1_0418_9699	12.49632188928126
1_0418_9736	10.70819562686114
1_0418_9737	15.99495175817873
1_0418_9738	16.47897161341649
1_0418_9739	18.51100637450872
1_0421_9685	24.94519940574406
1_0421_9686	21.20707013856963
1_0421_9687	22.07182888504155
1_0421_9688	25.85216687118304
1_0421_9689	28.53588794406352
1_0421_9690	23.02999141785978
1_0421_9691	21.35645765194516
1_0421_9692	17.94802137854754
1_0421_9693	21.5331930186735
1_0421_9694	21.58941964116656
1_0421_9695	25.51101590785794
1_0421_9696	18.35029512971232
1_0421_9697	19.60339669264818
1_0421_9698	8.629529320652182
1_0421_9699	19.28021402519209
2_0418_9740	53.71999983235153
2_0418_9741	48.2448293023092
2_0418_9742	54.97001988024331
2_0418_9743	53.18691239047189
2_0418_9744	44.74168884696059
2_0418_9745	40.44689162324812
2_0418_9746	45.69826837771484
2_0418_9747	59.45291942356158
2_0418_9748	54.68317990643348
2_0418_9749	50.72792944004723
2_0418_9750	49.62604749523524
2_0418_9751	48.82182144005094
2_0418_9752	52.91992985060136
2_0418_9753	53.56307294421225
2_0418_9754	41.56459920180049
2_0425_9740	55.81292387916045
2_0425_9741	50.33304867328445
2_0425_9742	52.62565181836402
2_0425_9743	64.57163875035258
2_0425_9744	59.45462543495626
2_0425_9745	48.69120505928862
2_0425_9746	49.03298377987858
2_0425_9747	47.88567536960056
2_0425_9748	38.95621427840121
2_0425_9749	43.10399719096995
2_0425_9750	42.17519404290283
2_0425_9755	49.91636348576736
2_0425_9756	44.33822919723696
2_0425_9757	46.69723508052317
2_0425_9758	40.90771768071033
2_0430_9740	25.05081355286114
2_0430_9741	18.13870326821819
2_0430_9742	16.19905522589107
2_0430_9743	23.13093312149948
2_0430_9744	20.5454498656897
2_0430_9745	12.94487585979016
2_0430_9746	11.10961905924466
2_0430_9747	5.214007217844483
2_0430_9748	10.41716704523583
2_0430_9749	10.76425689755922
2_0430_9750	8.183527084257832
2_0430_9755	7.016229843601025
2_0430_9756	10.14534343258038
2_0430_9757	10.93772272025581
2_0430_9758	7.452979893214888
2_0503_9740	24.209441508297
2_0503_9741	23.25147224731751
2_0503_9742	25.32493379443363
2_0503_9743	24.99247253442587
2_0503_9744	24.26282256013656
2_0503_9745	14.73984691488567
2_0503_9746	15.4943666208863
2_0503_9747	15.75703866739531
2_0503_9748	14.21673059372961
2_0503_9749	15.98191624551998
2_0503_9750	10.64699887556554
2_0503_9755	10.66760710439314
2_0503_9756	14.98545723079593
2_0503_9757	11.8933160189668
2_0503_9758	14.96684139206832
2_0506_9740	35.56675647359242
2_0506_9741	44.02667736185083
2_0506_9742	33.53013808930129
2_0506_9743	32.81287008464113
2_0506_9746	13.20306328395651
2_0506_9758	10.48476089351789
2B_0506_9740	31.66532329092735
3_0516_9831	51.62646805188032
3_0516_9832	46.41273961654406
3_0516_9833	46.28469546120127
3_0516_9834	47.43091275389003
3_0516_9835	45.76862616016297
3_0516_9836	39.3908595513233
3_0516_9837	41.48425714274282
3_0516_9838	37.85064622629284
3_0516_9839	48.90611218902731
3_0516_9840	42.93872086175378
3_0516_9841	31.3637780360379
3_0516_9842	40.14968914219887
3_0516_9843	38.88759249793551
3_0516_9844	42.07094498137062
3_0516_9845	52.72643472923403
3_0516_9846	45.16224177184824
3_0516_9847	43.02468653921903
3_0516_9849	46.8115897520743
3_0516_9851	39.24008621836572
3_0523_9831	34.63723878247271
3_0523_9832	33.8389970687731
3_0523_9835	30.04869824050348
