baseline	diet	time_frame	coef	haz_ratio	se(coef)	z	p_value	p_adj	signif	weightLoss_haz_toBaseline
LF/HF	HF/LF	days 7 to 9	-0.3132196387052819	0.731	0.6365632509860033	-0.4920479437355534	0.6226854510668076	0.794	ns	less
LF/HF	LF/LF	days 7 to 9	-0.19780556433822752	0.821	0.7571271276158325	-0.26125805974105104	0.7938935071068641	0.794	ns	less
LF/HF	chow	days 10 to 12	-1.466389910421665	0.231	0.5730986256526085	-2.5587042871579615	0.01050630698923333	0.042	*	less
LF/HF	HF/HF	days 10 to 12	-0.030154818405937263	0.97	0.4690837808162898	-0.06428450447266046	0.9487436915724496	0.955	ns	less
LF/HF	HF/LF	days 10 to 12	0.03636986397482441	1.037	0.6408273448702029	0.05675454436513003	0.9547407238776963	0.955	ns	greater
LF/HF	LF/LF	days 10 to 12	0.23195138108738822	1.261	0.6415076863015735	0.3615722555479212	0.7176717006868493	0.955	ns	greater
LF/HF	chow	days 13 to 15	-1.2056904029576851	0.299	0.8671021724953837	-1.3904825073703804	0.16438240752357167	0.653	ns	less
LF/HF	HF/HF	days 13 to 15	-0.5118074699110858	0.599	0.866377666747639	-0.5907440710382099	0.5546919141671207	0.74	ns	less
LF/HF	HF/LF	days 13 to 15	-1.3097365779686418e-15	1	1.1180339887498956	-1.1714640083823338e-15	0.9999999999999991	1	ns	greater
LF/HF	LF/LF	days 13 to 15	1.103536031991207	3.015	1.1249167978250865	0.980993469139036	0.3265959621586755	0.653	ns	greater
