term	df	SumOfSqs	R2	statistic	p.value	signif
Model	3	33.11169916772767	0.5158678127504648	64.6434619808991	0.001	***
Residual	182	31.07470352947733	0.48413218724953533	NA	NA	
Total	185	64.186402697205	1	NA	NA	
