term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	39.27737154812993	0.11184540984204158	61.75415558658666	0.001	***
high_fat	1	5.815798192958084	0.016560943535972737	9.143934339598724	0.001	***
high_fiber	1	11.655388954580644	0.033189638285649074	18.32527673195653	0.001	***
study	1	3.174736752844325	0.009040313016550922	4.9915047686264495	0.001	***
high_fat:high_fiber	1	3.13155856682571	0.008917359730189329	4.923617526882874	0.003	**
Residual	453	288.1206801760158	0.8204463355895965	NA	NA	
Total	458	351.1755341913545	1	NA	NA	
