day_post_inf	term	estimate	std.error	statistic	p.value
-8	(Intercept)	3.691455820146021	0.6028479968562154	6.123360846177724	2.9198728175423278e-8
-3	(Intercept)	1.6397349998344974	0.7049253391894804	2.3261115875333074	0.02225909930088619
-3	dietHF/LF	1.9346488165637887	0.7435223164733138	2.6020050423506373	0.010836606031682574
-3	dietHF/LF:seq_depth	-1.4785697267646954e-4	3.753161575393602e-5	-3.9395312380326564	1.609283456316084e-4
-3	dietLF/LF:seq_depth	-7.125712947332103e-5	2.0430672393648358e-5	-3.4877525369881606	7.556586659553503e-4
0	(Intercept)	2.297654508215591	0.587896271203297	3.908265149416218	1.7978013642851791e-4
0	dietHF/LF:seq_depth	-5.8486294307103314e-5	1.8686320548087115e-5	-3.12989890955769	0.002357748668596692
3	(Intercept)	5.272212063976781	0.7620996906480567	6.918008403196594	7.3341603632526224e-9
3	dietHF/HF	-3.60321956532993	1.6412178402892519	-2.1954547878268804	0.032706711948715585
3	dietHF/LF	-5.510527713695803	0.9156424266452908	-6.018209241226561	1.920697084598785e-7
3	dietLF/HF	-3.4031332955253064	1.0083204355718258	-3.3750513978181598	0.0014176167032739079
3	dietLF/LF	-2.9713586762858784	0.8945347922659267	-3.3216803884834865	0.0016595357550169697
3	dietHF/LF:seq_depth	5.586945806261586e-5	1.79794469094073e-5	3.1074069377175086	0.003082459885006418
