term	df	SumOfSqs	R2	statistic	p.value	signif
day_post_inf	1	69.31542493743214	0.46277151586807536	286.64325669115493	0.001	***
vendor	1	10.080062615780577	0.06729765937322847	41.68454537278274	0.001	***
diet	4	6.078933579171945	0.04058486707445066	6.284623227499243	0.001	***
day_post_inf:vendor	1	7.691698184126864	0.05135218937893128	31.807832368822883	0.001	***
day_post_inf:diet	4	5.361090360721576	0.035792320615163215	5.542490729155589	0.001	***
vendor:diet	4	3.9117655078602525	0.02611617335429991	4.044125840667216	0.001	***
day_post_inf:vendor:diet	4	5.267994895916317	0.0351707860951446	5.44624524253034	0.001	***
Residual	174	42.07628701382027	0.280914488240706	NA	NA	
Total	193	149.78325709483002	1	NA	NA	
