term	df	SumOfSqs	R2	statistic	p.value	signif
day_post_inf	1	23.26140688643206	0.4639844006142178	280.38021392167667	0.001	***
vendor	1	4.347200046774486	0.08671156555149108	52.39876010190494	0.001	***
diet	4	1.6964112506042497	0.033837521571661	5.111902212812743	0.001	***
day_post_inf:vendor	1	2.9739885744843875	0.059320758753011245	35.846823744823546	0.001	***
day_post_inf:diet	4	1.703346852045378	0.03397586276887543	5.132801694787686	0.001	***
vendor:diet	4	0.8532915971538699	0.017020208286950868	2.5712769837571487	0.002	**
day_post_inf:vendor:diet	4	0.8626821803373161	0.017207517856447745	2.599574215892318	0.002	**
Residual	174	14.435700514052074	0.28794216459734384	NA	NA	
Total	193	50.13402790188387	1	NA	NA	
