Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Ruminococcaceae	3	purified_diet	-0.0017402218951382952	3.8769668970546416e-4	-4.4886168526751	2.0938505333953263e-5	****
Ruminococcaceae	3	high_fat	1.2177758633021467e-4	3.8769668970546416e-4	0.31410530335642	0.7541600168502679	ns
Ruminococcaceae	3	high_fiber	3.6841000033157414e-6	3.876966897054641e-4	0.009502531492117144	0.9924389923307878	ns
Ruminococcaceae	3	high_fat:high_fiber	2.7291824795220074e-4	5.517893767036573e-4	0.4946058396096552	0.6220703790858952	ns
Tannerellaceae	-15	purified_diet	-0.004057000390061009	0.008605449452271529	-0.471445496549876	0.6384035495088918	ns
Tannerellaceae	-15	high_fat	0.004551102689134461	0.00860544945227153	0.528862869322082	0.5981340784376085	ns
Tannerellaceae	-15	high_fiber	0.0036702492779474485	0.008605449452271529	0.4265029151938874	0.6707063399180648	ns
Tannerellaceae	-15	high_fat:high_fiber	-0.011920264434115417	0.01216994332571852	-0.9794839725280017	0.3298287034498515	ns
Tannerellaceae	3	purified_diet	0.17706769567179842	0.07719319732445934	2.293825127200593	0.024102465395823617	*
Tannerellaceae	3	high_fat	0.02540051441316421	0.07719319732445933	0.32905120261310694	0.7428730891960531	ns
Tannerellaceae	3	high_fiber	-0.13658828873974346	0.07719319732445931	-1.7694342697794216	0.08017143168762968	ns
Tannerellaceae	3	high_fat:high_fiber	-0.016426579383419643	0.10986523065178888	-0.14951572290857587	0.8814775746062062	ns
