day_post_inf	term	estimate	std.error	statistic	p.value	signif
-15	purified_diet	-0.17193006285495277	0.36489246458767105	-0.47118008602680783	0.639788467458972	ns
-15	high_fat	0.31415325411954564	0.36489246458767105	0.8609474971606751	0.3938312133827021	ns
-15	high_fiber	-0.1414725486457783	0.36489246458767105	-0.38771024993799874	0.7000583885584594	ns
-15	purified_diet:high_fat	NA	NA	NA	NA	
-15	purified_diet:high_fiber	NA	NA	NA	NA	
-15	high_fat:high_fiber	0.26721372356982626	0.5160358722276287	0.5178200546723921	0.6071203577403987	ns
-15	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
3	purified_diet	-1.1355215544800923	0.14201013641699803	-7.996059880864779	3.176650557393339e-9	****
3	high_fat	-0.29674960237706405	0.1191281131198387	-2.4910123614443918	0.017943468342416447	*
3	high_fiber	0.6004430935442914	0.12777154843293828	4.6993489623352085	4.46143691926484e-5	****
3	purified_diet:high_fat	NA	NA	NA	NA	
3	purified_diet:high_fiber	NA	NA	NA	NA	
3	high_fat:high_fiber	0.213978186170945	0.18275135735914952	1.17087057115766	0.25003653911795126	ns
3	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
