day_post_inf	term	estimate	std.error	statistic	p.value
-15	(Intercept)	54.16904698645688	4.014023250272767	13.494950977868875	1.997205382716645e-17
-15	dietHF/HF	5.296578435265885	5.676686120216679	0.933040566819945	0.3557785364946432
-15	dietHF/LF	2.5245233584197835	5.676686120216679	0.4447177992507048	0.6586554085025348
-15	dietLF/HF	-3.818007322377637	5.676686120216679	-0.67257678890865	0.504655736295173
-15	dietLF/LF	1.6171629792770281	5.676686120216679	0.2848779983655853	0.7770446122184436
3	(Intercept)	10.705715743624774	0.7248450151722956	14.769661816712675	4.216088250989044e-16
3	dietHF/HF	-3.0622761335956223	0.9490448997538455	-3.2266925773373707	0.002826422953873288
3	dietHF/LF	-3.590096519624791	0.9040405684285631	-3.971167495132691	3.6512570686107336e-4
3	dietLF/HF	-1.9657166838522713	0.9490448997538454	-2.071257834441891	0.04622819585081634
3	dietLF/LF	-3.323327216024681	0.8877502148860275	-3.743538621898663	6.923743642073692e-4
