diet_vendor	coef	haz_ratio	p_value	lower_95_ci	upper_95_ci
HF/HF	-0.6868849330213141	0.503140948202345	0.2733385973657092	0.14720946408470537	1.7196639858174483
HF/LF	0.5046105833207999	1.656340388282758	0.28374126645059433	0.6583477093432677	4.167195302605989
LF/HF	-0.6796922529312832	0.5067729262528199	0.27927399326921976	0.1479382822946456	1.735986080136752
LF/LF	1.2987957186815333	3.6648804619012734	0.004588753016526767	1.4929333625694776	8.996616417566747
taconic	-0.5600246745823261	0.5711949696776282	0.06550054366802514	0.31475202025441223	1.0365737863137765
