baseline	diet	time_frame	coef	haz_ratio	se(coef)	z	p_value	p_adj	signif	weightLoss_haz_toBaseline
LFHF	HFHF	days 7 to 9	0.3982019510144498	1.489	0.3970281782020285	1.0029563967417547	0.3158818998289925	0.421	ns	greater
LFHF	HFLF	days 7 to 9	0.9684887065670175	2.634	0.40333860847136865	2.4011802644867966	0.01634228372388222	0.065	ns	greater
LFHF	LFLF	days 7 to 9	-0.4153774442912912	0.66	1.044495315349463	-0.39768243876930737	0.690864283898794	0.691	ns	less
LFHF	Chow	days 10 to 12	-0.7879730066126244	0.455	0.6770207062540632	-1.163883171273235	0.24447136038994066	0.556	ns	less
LFHF	HFHF	days 10 to 12	0.49527447536408964	1.641	0.4564724002600826	1.0850042085390024	0.2779197912963315	0.556	ns	greater
LFHF	HFLF	days 10 to 12	-0.15669952302077136	0.855	0.6770134002621824	-0.23145704791084992	0.8169597502818339	0.997	ns	less
LFHF	LFLF	days 10 to 12	-17.146477036750753	0	5178.190707504488	-0.0033112872826219467	0.99735797982894	0.997	ns	less
LFHF	Chow	days 13 to 15	-1.8251833171837035	0.161	1.0692007391276879	-1.7070539239177738	0.08781203009917743	0.351	ns	less
LFHF	HFHF	days 13 to 15	-0.16686510062697427	0.846	0.5564635055347296	-0.2998671053308814	0.7642785264576124	0.998	ns	less
LFHF	HFLF	days 13 to 15	-0.4729162892189566	0.623	0.8019553699578673	-0.5897039996674658	0.5553891132704387	0.998	ns	less
LFHF	LFLF	days 13 to 15	-17.56371168249522	0	8236.52228587506	-0.0021324184009816256	0.9982985775701386	0.998	ns	less
