	Chow1.042122	Chow1.050622	Chow1.070122	Chow1.081222	Chow2.042122	Chow2.050622	Chow2.070122	Chow2.071522	Chow2.081222	Chow3.042122	Chow3.050622	Chow3.070122	Chow3.071522	Chow3.081222	Chow4.042122	Chow4.050622	Chow4.081222	Chow5.042122	Ctrl1.042122	Ctrl1.061722	Ctrl1.070122	Ctrl1.071522	Ctrl1.081222	Ctrl2.042122	Ctrl2.060322	Ctrl2.061722	Ctrl2.070122	Ctrl2.071522	Ctrl2.081222	Ctrl3.042122	Ctrl3.061722	Ctrl3.070122	Ctrl3.071522	Ctrl3.081222	Ctrl4.042122	Ctrl4.070122	Ctrl4.071522	Ctrl5.042122	Ctrl5.061722	CtrlF1.050622	CtrlF1.060322	CtrlF2.060322	CtrlF2.061722	CtrlF3.060322	CtrlF3.061722	CtrlF4.060322	CtrlF4.061722	CtrlF5.060322	W+F2.060322	W+F4.060322	WD-3.061722	WD+1.081222	WD+F.081222	WD1.042122	WD1.060322	WD1.070122	WD1.071522	WD2.042122	WD2.060322	WD2.061722	WD2.070122	WD2.071522	WD3.042122	WD3.060322	WD3.070122	WD3.071522	WD4.042122	WD4.060322	WD4.070122	WD4.071522	WD5.042122	WD5.060322	WD5.061722	WD5.071522	WDF2.061722	WDF3.061722	WDF4.061722
Chow1.042122	0	0.7516187081686703	0.8208746941799488	0.9268838132366084	0.4036922171186208	0.8838046008346774	1.206608696673612	1.005188927738158	0.5772088895567321	0.3180996524594246	0.8331227405845105	0.7157293700416466	0.9267281300347392	0.7105914032035732	0.5741519348814195	0.9166822098729196	0.5614677355881973	0.3555892099307191	0.7794131453081532	0.8215654933847931	1.111038113533888	0.976344276795307	0.9683374934511321	0.7893962166731332	0.992079465286537	0.7204189153563583	1.01829478088185	1.145489979444562	1.034402858060055	0.6258852939228632	0.7132676176839596	1.037185420355831	1.009346152253316	0.9530079077638727	0.5044570046872247	0.9688142202696683	1.116842055649675	0.5178971083636515	0.8072222580279361	1.157951516649853	0.6404565396976745	1.290344938458185	1.222664752364978	0.7758980631203174	1.114692682705228	1.002504392468388	1.083339995822117	0.6513760102288837	0.9096366090099498	0.7893239417055964	1.090520618571139	1.06136390642951	0.6717737450132715	0.7356390726040248	1.044767802684985	1.136314380576009	0.9376911525682606	0.7459502424184634	1.085851172288217	1.093588512331661	0.8354343035753464	1.097399572873337	0.7902531874594246	1.135707644101082	1.263122502022745	1.149652560860837	0.7174604541383977	0.9091827832678002	1.156070766213623	1.090683748232834	0.8134529627333513	1.095264462294013	0.9939390714964655	1.094550580769355	0.9531470667806228	1.066455462586681	1.056213190962355
Chow1.050622	0.7516187081686703	0	0.9659295584597684	0.6630281368057319	0.5755934786605603	0.3945588566888037	1.113773671127375	1.180611941638436	0.6634694382940015	0.5758584447230906	0.2541023767398473	1.011374087290325	0.7501659863307124	0.7493628491588886	0.4706751955686754	0.499726021075363	0.837091235257324	0.542480580472374	0.985278094040137	0.9834664501433031	1.197819075285259	1.015071598443043	1.187649692393432	0.5732878451875582	1.112436422177877	0.9145293005038587	1.135476944624103	1.068535635904458	1.199828648831823	0.7765316334035676	0.8374974642266471	1.179813897272287	0.955558587326471	1.208294679958563	0.6033302908124011	1.168134263746977	1.19457523168939	0.7973339623865233	0.9800458389457077	1.196964116499195	0.920857873960681	1.349231166816829	1.242387089781466	1.102534947794671	1.020398993555887	1.220063848620172	1.186704833026878	1.011254086194249	1.100818269070356	0.9991769380881858	1.223489777575894	1.226070553717691	1.013849340110554	0.8795517347122412	1.093978008933273	1.089080125311169	0.993895981967546	0.8117220808080384	1.126613663288855	1.065782944702833	1.038912189041035	1.143513560439784	0.720186583236081	1.21255837598675	1.095801537796948	1.233628678883707	0.8666037258287457	1.005981636051408	1.11600510999102	1.136970999364468	0.738901401042362	1.132441209527089	0.9789709604545873	1.140721428712078	1.148794930841699	1.183300321212254	1.165680535728699
Chow1.070122	0.8208746941799488	0.9659295584597684	0	1.276537565339498	0.9113045359975461	1.111829919751089	0.9455233146704315	0.7820376142067962	1.063582465049874	0.7988156346245058	1.014685166989011	0.5749909816085131	0.9187274632871407	0.8555711628445478	1.068652627455262	1.1694039049248	0.9112931701013174	0.9412282384118825	0.314643419769881	0.3905918490447568	0.7805622324410558	1.281073709569345	0.7214554215845762	0.8387354200406207	0.6634367563673315	0.294877001238029	0.6596018189404236	0.7506837023717812	0.7758669281787385	0.8750495784720237	0.3463709293168862	0.6928766988855981	0.6873875067812347	0.8382699706629666	0.6940287739565667	0.5773301300685438	0.7647654156556317	0.6654829278587882	0.3769378692697946	1.021724601718797	0.7471961935585677	1.458921371348695	0.8871735535299858	1.082612841078894	0.9537570796967321	0.7197659586933171	0.667599250086639	0.7499329722343967	0.7811352649650352	0.7164080183291336	0.6297345644535424	0.7814211099075009	0.7653283870826894	0.523447167267266	1.301268914673168	1.163143225422183	1.315980081401455	0.7068484976549237	1.397044541234836	1.119079199129374	0.3941675447838908	1.4736442823364	0.6417256184204591	1.469359781228509	1.08229606171025	0.6645225673453135	0.4732012740825059	1.164090083416967	1.327394251894944	1.467340894197143	0.7292641831166771	1.463645181807082	1.199784069968321	1.480422862105937	0.5851940476480861	1.446837915247146	0.6624184433372864
Chow1.081222	0.9268838132366084	0.6630281368057319	1.276537565339498	0	0.908331293480573	0.7019716516425012	1.353400051908021	1.419914399668699	0.600560096471098	0.9083167586518029	0.6911737735811102	1.135430249714504	1.090185445263188	0.6819505879570481	0.5921733842703542	0.5993597694624301	0.7879867555153361	0.7857675710245227	1.269883192327198	1.218070621446994	1.453594001483639	1.176234617767464	1.249039212249841	0.8662070510180466	1.254083501247074	1.17663306885851	1.408912182363962	1.323506112216356	1.262176571654336	0.8767439872043452	1.158802107039136	1.432510436669424	1.221921587299559	1.271978358106422	0.9121174489152198	1.424934954862761	1.407925194196111	1.109992607877472	1.198836683559618	1.482394289888285	0.9940329691825307	1.357138262275824	1.416391661180383	1.175736922235338	1.197447146478413	1.293801881059137	1.355482994987171	1.048739990809593	1.107483505398029	0.9839981092743323	1.428214728937594	1.268445306288077	1.077550751965421	1.123907411407823	1.045185469222904	1.345694288880076	0.9933121268728086	1.137251496242317	1.055148164537479	1.271606164462182	1.329314478986344	1.072840309273083	1.024959817129551	1.175655150179901	1.354766517991289	1.400200355410399	1.182844169527082	0.9804460318699019	1.359932861496464	1.072527018067067	1.05667314750484	1.063424700243697	1.171285222653599	1.06535723262411	1.427837993471863	1.296869704377648	1.339590075061786
Chow2.042122	0.4036922171186208	0.5755934786605603	0.9113045359975461	0.908331293480573	0	0.7279419023201393	1.207593765950963	1.097780283225448	0.6221560300267802	0.2623380076730068	0.6799146046909169	0.8887140931312122	0.7778660030397974	0.7977791553243937	0.4800571601261904	0.8442956282751525	0.665052881390726	0.2896188025761445	0.8655585949854057	0.9158991512041879	1.119597231414658	1.030647181447002	1.052421765461936	0.6606740602061909	1.119307625429651	0.8419352649216633	1.026139042936838	1.127224481695634	1.103738497766419	0.5838293131337297	0.7781222217534096	1.097700059156485	1.001714262749263	1.052962824020319	0.4759746842557236	1.031197393798022	1.24095320047728	0.5968272494251725	0.941583507550414	1.19025634102035	0.7515790373296529	1.338828762125109	1.283113258229786	0.9207330689997326	1.159787597488195	1.07478176028212	1.207340644575214	0.8296038125020153	1.053397898648888	0.9335763159866798	1.219029132610857	1.13928088973733	0.8741859142861199	0.8595061098650207	1.171581317730515	1.178166719083214	1.087140977479615	0.5984871688241065	1.218518998463929	1.170262435194447	0.8905384574876033	1.241887210882895	0.6976675250326611	1.244513910618337	1.221104663056914	1.282095657260389	0.7670327781688482	1.056478894673331	1.207648774343671	1.235237293555814	0.7212332830524897	1.223501072942056	1.092768674789617	1.239063149716269	1.028079504370448	1.171722558436692	1.18432505063078
Chow2.050622	0.8838046008346774	0.3945588566888037	1.111829919751089	0.7019716516425012	0.7279419023201393	0	1.207348171726149	1.265504141849533	0.8698789315869018	0.717780702173902	0.2680445545117274	1.095131749062196	0.7613479973093473	0.9431995895149211	0.5734936092425531	0.5845464178330504	0.9956670153106459	0.7138682909490008	1.135336616326693	1.057438052169883	1.314017067027427	1.174627178712364	1.321640089706148	0.7580842808856688	1.132113870052467	1.035633579597038	1.266911938847021	1.187920927890941	1.34040576906931	0.9465378212425422	0.9936402027755686	1.2928930582051	1.090962792529061	1.35440842793331	0.7838342702771504	1.284691605427852	1.271080931789087	0.9814294126047245	1.056402950039077	1.319224990603646	1.086668083450614	1.445025888252593	1.275377142106051	1.243698027541623	1.09375376225686	1.354635781346645	1.217533278392406	1.17454525573171	1.189585093858152	1.096546467457686	1.285900070643456	1.33390386572258	1.160012426749786	1.000913233126541	1.132859851141416	1.236375868618335	1.063539148908947	0.9813684361458477	1.162905410948012	1.183213082825675	1.181632175528103	1.176130348006298	0.8989981640381141	1.282276464334748	1.245483613288467	1.261843176462953	1.037287058712976	1.081944294324525	1.260741422619832	1.169469608978292	0.9216251439401627	1.167375207682515	1.068005200017023	1.173336441514813	1.282222251101365	1.320775321773979	1.202205043401083
Chow2.070122	1.206608696673612	1.113773671127375	0.9455233146704315	1.353400051908021	1.207593765950963	1.207348171726149	0	0.5900834504717695	1.355864672029789	1.18666532079261	1.135324542093518	1.315512719442079	1.088387368890833	1.366854053907626	1.218070982046355	1.231763208582706	1.350289643816064	1.186297762758025	0.9998290064122947	1.049816676790625	0.2667317705266892	1.402147293951546	1.433801487141098	0.9637187839262203	1.296067763584573	1.003943892058454	0.6133770259317768	0.5029912980734281	1.4585078810817	1.223657965386259	1.016212298955705	0.4313973280662563	0.5050027758729425	1.467916782906648	1.028310677593537	0.5558793636642873	0.4722686785166316	1.100245667699815	0.887706581118248	1.206807446232751	1.322716172091109	1.582955147150306	0.3788004989038067	1.410278431950519	0.3565840059056666	1.354380228183711	0.6320671912389713	1.392489510530422	1.398055436963799	1.357100724137141	0.5903960206525438	1.462672137453811	1.359972781308088	1.052063868406561	1.480811476642189	0.8917268389453887	1.430917691872885	0.9588238452393149	1.522497818229497	0.5672805311881362	1.040858664376052	1.586481577480396	0.8563077291007779	1.535877535566747	0.5297820080961189	0.9892454807031504	1.071222163917908	1.365869560629466	1.447982332532784	1.579945871554445	0.9045135442286273	1.576013175959004	1.249271647157453	1.583791515124635	0.6642148523358927	1.53081364463077	0.5726861884295268
Chow2.071522	1.005188927738158	1.180611941638436	0.7820376142067962	1.419914399668699	1.097780283225448	1.265504141849533	0.5900834504717695	0	1.223533939669526	0.9969448358319567	1.175932879611422	1.130277861785624	1.007931270503	1.166477994943558	1.238949079459253	1.333664472834998	1.165048630495593	1.154925145191126	0.6980873471285792	0.8245170769743027	0.4838614874388227	1.22192982210767	1.168982237779533	1.001097684469852	1.157792139738304	0.7453867591992553	0.2085602662222383	0.5786971741056214	1.191965744394412	1.020448758837385	0.7723415126834245	0.2696358504104385	0.5317247209366859	1.169237696006179	0.8258161742554875	0.2942674735874455	0.5541798975474543	0.8114375384524664	0.6574464481529863	0.7990381679170206	1.105827307086636	1.333531254108166	0.6281725524095274	1.063774869314663	0.6791996362481478	0.9893292858039137	0.5260005905163552	1.186959516975422	1.220248235624407	1.151527707784333	0.4330141215801594	1.261439539121763	1.173626292708227	0.8165947463618841	1.549736674855092	0.6998154219730175	1.455254001560358	0.7411639124106005	1.591308568075273	0.6150958759442199	0.6666986736578059	1.6145039494398	0.718862002687636	1.298120375513601	0.637974686330283	0.805255478983107	0.7373326890308427	1.41439881731272	1.211578065863083	1.607333547679036	0.7488453108717806	1.604393355872238	1.130384784310238	1.619787161706944	0.2490058284091968	1.317661787898838	0.5105063695243475
Chow2.081222	0.5772088895567321	0.6634694382940015	1.063582465049874	0.600560096471098	0.6221560300267802	0.8698789315869018	1.355864672029789	1.223533939669526	0	0.5950281863061584	0.7687281095065217	0.9014121161741361	1.099286303310246	0.4205396393651647	0.6323269150286954	0.7538849616994076	0.3093332404799544	0.5309949203457314	0.9633084275542738	1.042264313011624	1.260715825249981	1.031593650508559	0.8983275587017328	0.8240496780428077	1.089766499546169	0.9283181087349617	1.163185128222214	1.093964043820601	0.9365924331135591	0.5427550110199876	0.8981814767513018	1.213989175104181	0.9894249321074814	0.9017622711225619	0.614113825614041	1.190020926391761	1.218481807204438	0.7002728594413206	1.019516592600919	1.240597948857493	0.6122848482475303	1.237727024410949	1.264283660787238	0.7206515970758959	1.191303585243835	1.001257921634115	1.206713291510756	0.6400996121730289	0.8696856149776641	0.7393391796897673	1.241459223795965	0.9617224385198219	0.6279259358128801	0.9501396531674431	1.021677933002541	1.196921557305428	0.9988860592703295	0.9082690048528548	1.047922613554612	1.213960409646693	1.050252852791307	1.078248665779955	0.828490271682353	1.122317060914454	1.286029592473705	1.259204328396278	0.9269047268619803	0.8771106525714751	1.210748966240286	1.078291977992788	0.8636445011182544	1.055717815315244	1.124571912257857	1.070589034735043	1.170677026805847	1.182260878213444	1.186391033370554
Chow3.042122	0.3180996524594246	0.5758584447230906	0.7988156346245058	0.9083167586518029	0.2623380076730068	0.717780702173902	1.18666532079261	0.9969448358319567	0.5950281863061584	0	0.6628276025949411	0.7867241062669089	0.8386513954296523	0.7250278314569588	0.5485815918438077	0.8318666983313163	0.6013000037181323	0.3337476046336853	0.7410901122579827	0.8242804223832293	1.053871552204726	1.017688050116146	0.9313986190700831	0.6518543321763401	1.027135423684853	0.7362446339891222	0.934033033392963	1.081571708390333	0.9879450612911421	0.5367956429830666	0.7029544008666386	0.994644664990207	0.9585600422754698	0.9448594178821808	0.3996394025302421	0.9216464242036718	1.146343622860747	0.5078994164477759	0.8344771839433888	1.163284934975818	0.6895202831681015	1.317410117224949	1.225592363646197	0.8356981078260127	1.141728842628717	0.9791582082922259	1.116151006859029	0.7914990304424461	0.9613418284904075	0.8553538069040439	1.114313382639059	1.024097790672701	0.7824499610171115	0.7531029621205643	1.179642949816123	1.159187210608204	1.082906069365884	0.6163037191922797	1.225319605521931	1.166217852216384	0.7926879879256256	1.242449030093172	0.6750890807200115	1.244168305663761	1.194201693086726	1.184400267137248	0.6742591575402674	1.050017246994519	1.197379946228057	1.235866469983995	0.6957823077344305	1.230485437343509	1.092761817200591	1.239733302520517	0.9011454947136832	1.207484452750955	1.09050781956651
