sampleid	diet	day_post_inf	mouse_id	high_fat	high_fiber	purified_diet
2_0503_9746	LF/HF	0	9746	0	1	1
2_0503_9747	LF/HF	0	9747	0	1	1
2_0503_9748	LF/HF	0	9748	0	1	1
2_0503_9749	LF/HF	0	9749	0	1	1
2_0503_9750	HF/HF	0	9750	1	1	1
2_0503_9755	HF/HF	0	9755	1	1	1
2_0503_9756	HF/HF	0	9756	1	1	1
2_0503_9757	HF/HF	0	9757	1	1	1
2_0503_9758	HF/HF	0	9758	1	1	1
2_0506_9740	Chow	3	9740	0	0	0
2_0506_9741	Chow	3	9741	0	0	0
2_0506_9742	Chow	3	9742	0	0	0
2_0506_9743	Chow	3	9743	0	0	0
2_0506_9746	LF/HF	3	9746	0	1	1
2_0506_9758	HF/HF	3	9758	1	1	1
2B_0506_9740	Chow	3	9740	0	0	0
3_0516_9831	LF/HF	-15	9831	0	1	1
3_0516_9832	LF/HF	-15	9832	0	1	1
3_0516_9833	LF/HF	-15	9833	0	1	1
3_0516_9834	LF/HF	-15	9834	0	1	1
3_0516_9835	LF/HF	-15	9835	0	1	1
3_0516_9836	HF/HF	-15	9836	1	1	1
3_0516_9837	HF/HF	-15	9837	1	1	1
3_0516_9838	HF/HF	-15	9838	1	1	1
3_0516_9839	HF/HF	-15	9839	1	1	1
3_0516_9840	HF/HF	-15	9840	1	1	1
3_0516_9841	LF/LF	-15	9841	0	0	1
3_0516_9842	LF/LF	-15	9842	0	0	1
3_0516_9843	LF/LF	-15	9843	0	0	1
3_0516_9844	LF/LF	-15	9844	0	0	1
3_0516_9845	LF/LF	-15	9845	0	0	1
3_0516_9846	HF/LF	-15	9846	1	0	1
3_0516_9847	HF/LF	-15	9847	1	0	1
3_0516_9849	HF/LF	-15	9849	1	0	1
3_0516_9851	HF/LF	-15	9851	1	0	1
3_0523_9831	LF/HF	-8	9831	0	1	1
3_0523_9832	LF/HF	-8	9832	0	1	1
3_0523_9835	LF/HF	-8	9835	0	1	1
3_0523_9836	HF/HF	-8	9836	1	1	1
3_0523_9837	HF/HF	-8	9837	1	1	1
3_0523_9838	HF/HF	-8	9838	1	1	1
3_0523_9839	HF/HF	-8	9839	1	1	1
3_0523_9840	HF/HF	-8	9840	1	1	1
3_0523_9841	LF/LF	-8	9841	0	0	1
3_0523_9842	LF/LF	-8	9842	0	0	1
3_0523_9843	LF/LF	-8	9843	0	0	1
3_0523_9844	LF/LF	-8	9844	0	0	1
3_0523_9845	LF/LF	-8	9845	0	0	1
3_0523_9846	HF/LF	-8	9846	1	0	1
3_0523_9847	HF/LF	-8	9847	1	0	1
3_0523_9848	HF/LF	-8	9848	1	0	1
3_0523_9859	HF/HF	-8	9839	1	1	1
33.9831.0528	LF/HF	-3	9831	0	1	1
33.9832.0528	LF/HF	-3	9832	0	1	1
33.9833.0528	LF/HF	-3	9833	0	1	1
