sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9686	K00929	2856b4a2f8c5cef6b9b4c4feeec67a7f	86	0.1160676809542383	1	86	0.1160676809542383	0.00910390091568305
1_0403_9686	K00929	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	48	0.06478196146283068	1	48	0.06478196146283068	0.00508124702270682
1_0403_9686	K00929	32a0174bb2d68ba6c16999219ccc8843	91	0.12281580193994984	1	91	0.12281580193994984	0.00963319748054835
1_0403_9686	K00929	539f049bd3eae43fe41be294bfa6b8b5	306	0.4129850043255456	1	306	0.4129850043255456	0.03239294976975599
1_0403_9686	K00929	54e3f8369dd2263b6ca12b9492fe419d	105	0.1417105406999421	1	105	0.1417105406999421	0.01111522786217117
1_0403_9686	K00929	5932d9202e3c58065680e72a65213186	79	0.10662031157424216	1	79	0.10662031157424216	0.00836288572487164
1_0403_9686	K00929	5e51f0b907125eb79cf09219ca4139e9	1221	1.6478911447107554	1	1221	1.6478911447107554	0.1292542211401048
1_0403_9686	K00929	5f3216e3a6b303b1ea911e594096866b	79	0.10662031157424216	1	79	0.10662031157424216	0.00836288572487164
1_0403_9686	K00929	65aca06371031dd4083b76d6038de128	112	0.15115791007993823	2	224	0.30231582015987646	0.02371248610596517
1_0403_9686	K00929	680dc3d6deb8fda5dfa5643527d15f9a	198	0.26722559103417654	1	198	0.26722559103417654	0.02096014396866564
1_0403_9686	K00929	6eb3f747505b027607654373c88891d2	98	0.13226317131994597	2	196	0.26452634263989194	0.02074842534271952
1_0403_9686	K00929	747f2349a5e05816a56c75007ae79e3e	43	0.05803384047711915	1	43	0.05803384047711915	0.00455195045784152
1_0403_9686	K00929	7a61da82e043fc2e0252934cfc718753	700	0.944736937999614	1	700	0.944736937999614	0.07410151908114117
1_0403_9686	K00929	81130df1bed6e198d82304f9995c455b	65	0.08772557281424988	1	65	0.08772557281424988	0.00688085534324882
1_0403_9686	K00929	8659f12bab87bc12c0b096be47238c98	12	0.01619549036570767	1	12	0.01619549036570767	0.0012703117556767
1_0403_9686	K00929	86e2c0621f63f15e551833709c6f3238	251	0.3387556734827188	1	251	0.3387556734827188	0.02657068755623776
1_0403_9686	K00929	88ab9af7bd6d8a09c14a812cb2082a79	301	0.406236883339834	1	301	0.406236883339834	0.0318636532048907
1_0403_9686	K00929	8ba742f68eac37fe13c4b1904dbecfc1	26	0.03509022912569995	1	26	0.03509022912569995	0.00275234213729952
1_0403_9686	K00929	98b130d293e8f892f43eb8cd1cab1e71	14	0.01889473875999228	1	14	0.01889473875999228	0.00148203038162282
1_0403_9686	K00929	bcaa663b6ba40455634757464f104af0	1087	1.4670415022936862	1	1087	1.4670415022936862	0.11506907320171492
1_0403_9686	K00929	c544ed46d118037e56fb14b964ddb15b	358	0.4831654625769455	1	358	0.4831654625769455	0.03789763404435505
1_0403_9686	K00929	cae2da4e292bc63db3f85b6febdab924	84	0.1133684325599537	1	84	0.1133684325599537	0.00889218228973694
1_0403_9686	K00929	d357b6e47248af689125119c1e487510	184	0.24833085227418425	1	184	0.24833085227418425	0.01947811358704282
1_0403_9686	K00929	e1d0794790521a5fa5fd22f9628cb981	332	0.4480752334512455	1	332	0.4480752334512455	0.03514529190705552
1_0403_9686	K00929	e2bebd0eb850939e3ab5c3627bc5f261	69	0.0931240696028191	1	69	0.0931240696028191	0.00730429259514105
