mouse_id	diet	sampleid	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth	facility	study	metabolite	concentration
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	Propanoic Acid (ug/g)	398
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	Propanoic Acid (ug/g)	249.9
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	Propanoic Acid (ug/g)	153.8
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	Propanoic Acid (ug/g)	467.2
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	Propanoic Acid (ug/g)	119.6
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	Propanoic Acid (ug/g)	142.4
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	Propanoic Acid (ug/g)	59.3
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	Propanoic Acid (ug/g)	111.2
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	Propanoic Acid (ug/g)	58.6
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	Propanoic Acid (ug/g)	295.4
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	Propanoic Acid (ug/g)	187.9
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	Propanoic Acid (ug/g)	26.1
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	Propanoic Acid (ug/g)	3.8
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	Propanoic Acid (ug/g)	21.2
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	Propanoic Acid (ug/g)	7.9
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	Propanoic Acid (ug/g)	3.5
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	Propanoic Acid (ug/g)	3
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	Propanoic Acid (ug/g)	115.3
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	Propanoic Acid (ug/g)	77.6
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	Propanoic Acid (ug/g)	122.6
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	Propanoic Acid (ug/g)	55.7
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	Propanoic Acid (ug/g)	105.7
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	Propanoic Acid (ug/g)	139.5
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	Propanoic Acid (ug/g)	71.4
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	Propanoic Acid (ug/g)	64.6
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	Propanoic Acid (ug/g)	42.8
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	Propanoic Acid (ug/g)	66.4
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	Propanoic Acid (ug/g)	303.3
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	Propanoic Acid (ug/g)	249.9
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	Propanoic Acid (ug/g)	10.6
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	Propanoic Acid (ug/g)	41.3
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	Propanoic Acid (ug/g)	263.5
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	Propanoic Acid (ug/g)	718.2
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	Propanoic Acid (ug/g)	172.6
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	Propanoic Acid (ug/g)	0
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	Propanoic Acid (ug/g)	0
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	Propanoic Acid (ug/g)	0
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	Propanoic Acid (ug/g)	0
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	n-Butanoic Acid (ug/g)	7.8
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	n-Butanoic Acid (ug/g)	43.5
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	n-Butanoic Acid (ug/g)	1
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	n-Butanoic Acid (ug/g)	8.8
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	n-Butanoic Acid (ug/g)	1.7
114	Chow	Chow4.081222	3	cecum	0	0	0	59885	barrier_1	7	n-Butanoic Acid (ug/g)	333.7
116	Chow	Chow2.081222	3	cecum	0	0	0	40721	barrier_1	7	n-Butanoic Acid (ug/g)	593.4
117	Chow	Chow1.081222	3	cecum	0	0	0	59401	barrier_1	7	n-Butanoic Acid (ug/g)	723
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	n-Butanoic Acid (ug/g)	394.9
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	n-Butanoic Acid (ug/g)	389.9
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	n-Butanoic Acid (ug/g)	250
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	n-Butanoic Acid (ug/g)	1082.2
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	n-Butanoic Acid (ug/g)	77.6
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	n-Butanoic Acid (ug/g)	37.1
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	n-Butanoic Acid (ug/g)	4.5
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	n-Butanoic Acid (ug/g)	50.8
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	n-Butanoic Acid (ug/g)	0
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	n-Butanoic Acid (ug/g)	40.6
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	n-Butanoic Acid (ug/g)	35.5
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	n-Butanoic Acid (ug/g)	1.2
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	n-Butanoic Acid (ug/g)	1.2
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	n-Butanoic Acid (ug/g)	11.2
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	n-Butanoic Acid (ug/g)	2.9
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	n-Butanoic Acid (ug/g)	1.1
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	n-Butanoic Acid (ug/g)	1.1
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	n-Butanoic Acid (ug/g)	27
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	n-Butanoic Acid (ug/g)	23.2
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	n-Butanoic Acid (ug/g)	17.1
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	n-Butanoic Acid (ug/g)	4.1
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	n-Butanoic Acid (ug/g)	13.9
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	n-Butanoic Acid (ug/g)	74.5
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	n-Butanoic Acid (ug/g)	3.5
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	n-Butanoic Acid (ug/g)	4.3
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	n-Butanoic Acid (ug/g)	2.5
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	n-Butanoic Acid (ug/g)	2.2
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	n-Butanoic Acid (ug/g)	412.3
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	n-Butanoic Acid (ug/g)	115
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	n-Butanoic Acid (ug/g)	3.6
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	n-Butanoic Acid (ug/g)	7.3
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	n-Butanoic Acid (ug/g)	135.8
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	n-Butanoic Acid (ug/g)	80.3
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	n-Butanoic Acid (ug/g)	10.6
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	n-Butanoic Acid (ug/g)	0
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	n-Butanoic Acid (ug/g)	0
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	n-Butanoic Acid (ug/g)	0
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	n-Butanoic Acid (ug/g)	0
