term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	1.9807420341492932	0.1365285827189919	13.73938268491054	0.001	***
high_fat	1	0.35752712898123007	0.02464362918635291	2.479980714611444	0.02	*
high_fiber	1	0.32098829375911064	0.022125080429840408	2.226529719316542	0.031	*
study	1	1.4960062580331153	0.10311671617335359	10.377021400954817	0.001	***
high_fat:high_fiber	1	0.26105900637051604	0.017994274636122763	1.8108312592091302	0.06	+
Residual	70	10.091570019570593	0.6955917168553385	NA	NA	
Total	75	14.507892740863857	1	NA	NA	
