group2	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	Chow	faith_pd	13	6	-2.77592310246061	0.005504522585398543	0.011009045170797087	*	30.57591451136018	11.347653031775698	19.228261479584482	19.228261479584482
HF/LF	Chow	faith_pd	13	18	-6.310635897085353	2.77891274281454e-10	2.77891274281454e-9	****	30.57591451136018	7.920687710057775	22.655226801302405	22.655226801302405
HF/LF	HF/HF	faith_pd	6	18	-1.9661866858546315	0.0492770498636584	0.070395785519512	ns	11.347653031775698	7.920687710057775	3.4269653217179226	0
LF/HF	Chow	faith_pd	13	9	-3.017476569436842	0.0025488874471229065	0.008496291490409688	**	30.57591451136018	11.151335246621935	19.42457926473824	19.42457926473824
LF/HF	HF/LF	faith_pd	18	9	2.4212110987776	0.01546889136245286	0.0257814856040881	*	7.920687710057775	11.151335246621935	-3.2306475365641596	-3.2306475365641596
LF/HF	HF/HF	faith_pd	6	9	0.11685121823324861	0.9069779554413336	0.9764169460840381	ns	11.347653031775698	11.151335246621935	0.19631778515376297	0
LF/LF	HF/HF	faith_pd	6	16	0.1543787486228152	0.8773111089202428	0.9764169460840381	ns	11.347653031775698	12.118220411030814	-0.770567379255116	0
LF/LF	Chow	faith_pd	13	16	-3.4712620742049847	5.180181616331739e-4	0.00259009080816587	**	30.57591451136018	12.118220411030814	18.457694100329363	18.457694100329363
LF/LF	HF/LF	faith_pd	18	16	2.912675781894619	0.0035834644855078047	0.008958661213769512	**	7.920687710057775	12.118220411030814	-4.1975327009730385	-4.1975327009730385
LF/LF	LF/HF	faith_pd	9	16	0.02956127975859687	0.9764169460840381	0.9764169460840381	ns	11.151335246621935	12.118220411030814	-0.966885164408879	0
