term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	2.6123209713909117	0.07231871675936208	5.423953274479129	0.001	***
high_fat	1	3.693495207941273	0.10224962273795395	7.668791716937995	0.001	***
high_fiber	1	0.49058201639976495	0.01358112662256858	1.0185937958593598	0.4	ns
study	1	1.199853565731658	0.0332163892274912	2.4912519357376572	0.053	+
high_fat:high_fiber	1	1.15498620710669	0.03197429461673127	2.3980939894529976	0.051	+
Residual	56	26.971097831210486	0.7466598500358929	NA	NA	
Total	61	36.122335799780785	1	NA	NA	
