fiber	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
high_fiber	fluorescence	1	2	27	27	0.9023372909119451	0.366877721878907	0.366877721878907	ns	31602.76648	
high_fiber	fluorescence	1	3	27	27	2.3252537881192454	0.020058393736547497	0.06017518120964249	ns	33512.1397	
high_fiber	fluorescence	2	3	27	27	1.4229164972073003	0.154760363261109	0.23214054489166353	ns	35421.512919999994	
low_fiber	fluorescence	1	2	21	21	-2.862098876231264	0.004208455938996202	0.012625367816988605	*	36258.06088	
low_fiber	fluorescence	1	3	21	21	-1.0774960475223592	0.28125871559673676	0.28125871559673676	ns	39049.2262	
low_fiber	fluorescence	2	3	21	21	1.7846028287089049	0.07432576227583239	0.11148864341374859	ns	41840.39152	
