day_post_inf	term	estimate	std.error	statistic	p.value	signif
-15	purified_diet	1.617162979277025	5.676686120216681	0.2848779983655847	0.777044612218444	ns
-15	high_fat	0.9073603791427621	5.67668612021668	0.15983980088512062	0.8737225871945851	ns
-15	high_fiber	-5.435170301654661	5.67668612021668	-0.9574547872742344	0.3434536810412572	ns
-15	purified_diet:high_fat	NA	NA	NA	NA	
-15	purified_diet:high_fiber	NA	NA	NA	NA	
-15	high_fat:high_fiber	8.207225378500755	8.028046500545535	1.0223191131171256	0.31209457771443583	ns
-15	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
3	purified_diet	-3.3233272160246807	0.8877502148860276	-3.743538621898662	6.923743642073711e-4	***
3	high_fat	-0.2667693036001105	0.7447074602517264	-0.3582202647868426	0.7224598865992787	ns
3	high_fiber	1.3576105321724106	0.798740304315942	1.6996895296714702	0.09859823341963342	+
3	purified_diet:high_fat	NA	NA	NA	NA	
3	purified_diet:high_fiber	NA	NA	NA	NA	
3	high_fat:high_fiber	-0.829790146143241	1.1424364546056378	-0.7263337429386211	0.472754940223158	ns
3	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
