Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	-15	purified_diet	0.02510830882398357	0.01473198701468354	1.7043395978395741	0.09521413683038328	+
Bacteroidaceae	-15	high_fat	-0.01854196027439326	0.014731987014683541	-1.2586191024952897	0.2146586993835226	ns
Bacteroidaceae	-15	high_fiber	-0.02632717776496015	0.014731987014683541	-1.7870758193527831	0.0806620255848448	+
Bacteroidaceae	-15	high_fat:high_fiber	0.019574415163129508	0.02083417583686979	0.9395339329184834	0.35247271316689477	ns
Bacteroidaceae	3	purified_diet	-0.025635034001609953	0.09646673559292589	-0.2657396235505022	0.791709734092476	ns
Bacteroidaceae	3	high_fat	-0.2284618604685206	0.09389382563837967	-2.4331936516082844	0.019198319377185333	*
Bacteroidaceae	3	high_fiber	-0.1747057466574445	0.09389382563837967	-1.8606734305437915	0.06963738070792316	+
Bacteroidaceae	3	high_fat:high_fiber	0.16964362159520507	0.13461753811805469	1.2601896006034057	0.2143971719851383	ns
Enterobacteriaceae	-15	purified_diet	0.0017314314076522053	0.0027544218810067003	0.6286006583056162	0.5327883837082614	ns
Enterobacteriaceae	-15	high_fat	-6.864186182576281e-4	0.002754421881006701	-0.24920605771790924	0.8043353870693741	ns
Enterobacteriaceae	-15	high_fiber	-0.001288407413560331	0.002754421881006701	-0.4677596494729547	0.6422139886906792	ns
Enterobacteriaceae	-15	high_fat:high_fiber	0.0050463115365603	0.003895340780616888	1.2954737007017747	0.20176322382444395	ns
Enterobacteriaceae	3	purified_diet	0.16342870770072163	0.10442822124264844	1.564986033047333	0.12491672098208473	ns
Enterobacteriaceae	3	high_fat	0.14006221552115616	0.10164296673684066	1.3779823633423165	0.17533777140236642	ns
Enterobacteriaceae	3	high_fiber	0.024733859390203693	0.10164296673684066	0.24334058896805955	0.8088987304400596	ns
Enterobacteriaceae	3	high_fat:high_fiber	-0.12747929840171868	0.1457276434962496	-0.8747777384117205	0.3865548705911521	ns
Enterococcaceae	-15	purified_diet	2.0035102343182748e-6	8.289962173476032e-5	0.024167905623605403	0.9808255324113667	ns
Enterococcaceae	-15	high_fat	-7.0002993605890216e-6	8.289962173476034e-5	-0.08444307964379712	0.933078717430651	ns
Enterococcaceae	-15	high_fiber	4.602081787779843e-5	8.289962173476034e-5	0.5551390575103385	0.5815488023109991	ns
Enterococcaceae	-15	high_fat:high_fiber	-6.021168048238171e-6	1.1723776937289748e-4	-0.051358602952318866	0.9592670760207338	ns
Enterococcaceae	3	purified_diet	-0.016430340298963605	0.03920715337414769	-0.4190648615106396	0.6772548051959517	ns
Enterococcaceae	3	high_fat	0.012900671666929164	0.03816144083307604	0.3380551516217291	0.736966608019025	ns
Enterococcaceae	3	high_fiber	0.05353201976854894	0.038161440833076044	1.4027777410896551	0.1678624430312318	ns
Enterococcaceae	3	high_fat:high_fiber	0.06623644371638529	0.0547128544508537	1.210619412589463	0.23265369681116052	ns
Lachnospiraceae	-15	purified_diet	-0.08490659311443101	0.06878479129525182	-1.2343803261680037	0.22346862939476603	ns
Lachnospiraceae	-15	high_fat	0.06694104650894118	0.06878479129525182	0.9731954585949597	0.3356586593588943	ns
Lachnospiraceae	-15	high_fiber	-0.015042387434793022	0.06878479129525182	-0.21868769464204785	0.8278821442660794	ns
Lachnospiraceae	-15	high_fat:high_fiber	0.011092584971346377	0.09727638473474795	0.11403163266802628	0.9097199749152769	ns
Lachnospiraceae	3	purified_diet	-0.011581649243200015	0.0023903884162951817	-4.845090933443442	1.6784816400103317e-5	****
Lachnospiraceae	3	high_fat	-0.0016311214475294065	0.002326633235675502	-0.7010651367471915	0.48703914281778016	ns
Lachnospiraceae	3	high_fiber	-0.0013833433340831715	0.0023266332356755024	-0.5945687153744879	0.5552475888598318	ns
Lachnospiraceae	3	high_fat:high_fiber	0.0031763765621842964	0.0033357426450654187	0.9522247068079808	0.3463051994566614	ns
Lactobacillaceae	-15	purified_diet	0.010416529712456482	0.0543477319308387	0.19166447876265097	0.8488672704640872	ns
Lactobacillaceae	-15	high_fat	-0.030570419863190416	0.05434773193083871	-0.5624966999928058	0.5765692779555296	ns
Lactobacillaceae	-15	high_fiber	0.04571059130794022	0.05434773193083871	0.8410763372077816	0.4047524424111859	ns
Lactobacillaceae	-15	high_fat:high_fiber	-0.06880188189565035	0.07685929958080942	-0.8951666521929784	0.37546139960576497	ns
Lactobacillaceae	3	purified_diet	-0.08838372451120119	0.025819871016773292	-3.423089311863127	0.001370589584729955	**
Lactobacillaceae	3	high_fat	0.004908827581541065	0.02513121701852369	0.19532788952969812	0.8460563277983555	ns
Lactobacillaceae	3	high_fiber	0.03784649675906264	0.02513121701852369	1.5059555902591897	0.13938997244152831	ns
Lactobacillaceae	3	high_fat:high_fiber	-0.012332283912487245	0.036031150524996336	-0.3422672807500781	0.7338171133140092	ns
Ruminococcaceae	-15	purified_diet	-2.1959481684056742e-4	0.0030239208123779213	-0.07261923524640336	0.942430939403551	ns
Ruminococcaceae	-15	high_fat	0.0015918147180973329	0.003023920812377922	0.5264075406940226	0.601190220515178	ns
Ruminococcaceae	-15	high_fiber	0.001318741249727699	0.003023920812377922	0.4361031030738797	0.6648470354167206	ns
Ruminococcaceae	-15	high_fat:high_fiber	-0.0016065451112235903	0.004276469824407125	-0.37567086339638	0.708926745305748	ns
Ruminococcaceae	3	purified_diet	-0.001803469805280874	3.060804218802431e-4	-5.892143620954949	5.246208293219148e-7	****
Ruminococcaceae	3	high_fat	3.000300030001858e-6	2.9791680610629815e-4	0.010070932449951603	0.9920112746217762	ns
