group1	group2	p.value	signif
HF/HF	Chow	0.2896084771513875	ns
HF/LF	Chow	0.2896084771513875	ns
LF/HF	Chow	0.2896084771513875	ns
LF/LF	Chow	0.03481689196545731	*
HF/LF	HF/HF	0.03481689196545731	*
LF/HF	HF/HF	0.966828517628245	ns
LF/LF	HF/HF	9.271786809665091e-4	***
LF/HF	HF/LF	0.03481689196545731	*
LF/LF	HF/LF	0.019310499556384277	*
LF/LF	LF/HF	9.271786809665091e-4	***
