day_post_inf	term	estimate	std.error	statistic	p.value
-15	(Intercept)	5.222434126589884	0.2580179361138143	20.240585616831755	3.1146853413747455e-24
-15	dietHF/HF	0.2679643661886409	0.364892464587671	0.7343653053823432	0.46653568028887693
-15	dietHF/LF	0.14222319126459265	0.36489246458767094	0.38976741113386676	0.6985472373603607
-15	dietLF/HF	-0.3134026115007313	0.364892464587671	-0.8588903359648072	0.39495320537661716
-15	dietLF/LF	-0.17193006285495274	0.364892464587671	-0.47118008602680783	0.639788467458972
3	(Intercept)	2.92352526690324	0.11595079084155886	25.213500017417697	3.8786751219302545e-23
3	dietHF/HF	-0.6178498771419197	0.1518152216918388	-4.0697492007491745	2.7590097962029773e-4
3	dietHF/LF	-1.432271156857156	0.14461604435153297	-9.903957498488815	2.0604087891969123e-11
3	dietLF/HF	-0.5350784609358009	0.1518152216918388	-3.5245376252318534	0.0012675947979453425
3	dietLF/LF	-1.1355215544800918	0.142010136416998	-7.996059880864777	3.1766505573933506e-9
