day_post_inf	term	estimate	std.error	statistic	p.value	signif
-15	purified_diet	-0.16969202581731885	0.24471694688497134	-0.6934216366187431	0.489754880635049	ns
-15	high_fat	0.25695921480721673	0.2479159970006487	1.036476943464622	0.3026386848293387	ns
-15	high_fiber	-0.08262041222684827	0.2447169468849713	-0.3376162267408633	0.7364051852314577	ns
-15	purified_diet:high_fat	NA	NA	NA	NA	
-15	purified_diet:high_fiber	NA	NA	NA	NA	
-15	high_fat:high_fiber	0.18187221763963327	0.34835143987290695	0.5220940602570433	0.6028330166469922	ns
-15	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
3	purified_diet	-1.1415220778667807	0.12214648941095317	-9.345516873810519	6.5679334462372435e-15	****
3	high_fat	-0.1434674617908919	0.12214648941095316	-1.1745524777892375	0.24327221442725058	ns
3	high_fiber	0.4031774273390897	0.12387424833994087	3.2547315744970122	0.0015999092110400223	**
3	purified_diet:high_fat	NA	NA	NA	NA	
3	purified_diet:high_fiber	NA	NA	NA	NA	
3	high_fat:high_fiber	0.4409236028570661	0.1750632809898585	2.5186526858399794	0.013546828666788318	*
3	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
