#SampleID	faith_pd
2_0418_9740	49.758637450322
2_0418_9741	41.09058136752915
2_0418_9742	46.94933225915597
2_0418_9743	47.65937545938695
2_0418_9744	39.53570416513702
2_0418_9745	34.277451832389
2_0418_9746	38.98124359684311
2_0418_9747	50.33159379943024
2_0418_9748	50.02775069434267
2_0418_9749	44.45623727317019
2_0418_9750	45.6918636483469
2_0418_9751	41.69859382285387
2_0418_9752	43.90097560830051
2_0418_9753	46.49347501727058
2_0418_9754	38.38704606760851
3_0516_9831	48.06882045933777
3_0516_9832	42.64925758059711
3_0516_9833	41.64592263257428
3_0516_9834	43.86335952771317
3_0516_9835	42.57837707637758
3_0516_9836	34.71162446303104
3_0516_9837	37.69947722665275
3_0516_9838	31.16646673972458
3_0516_9839	45.13535570559621
3_0516_9840	38.06769359783267
3_0516_9841	30.78923562806052
3_0516_9842	38.27655508279081
3_0516_9843	34.70202352669371
3_0516_9844	39.20082294485404
3_0516_9845	46.7765679910448
3_0516_9846	39.91642497240254
3_0516_9847	38.44682870212104
3_0516_9849	42.34072909815595
3_0516_9851	37.48038058351123
41.9871.0530	37.54639154211949
41.9872.0530	43.9064900612361
41.9873.0530	51.63569485285362
41.9874.0530	41.51129454567163
41.9875.0530	34.65886145461283
41.9876.0530	48.87685200298537
41.9877.0530	52.67031886006336
41.9878.0530	57.07983542494483
41.9879.0530	38.81480791338561
41.9880.0530	40.80797486826103
41.9881.0530	42.75201455138867
41.9882.0530	39.35580930753193
41.9883.0530	47.69398526321137
41.9884.0530	41.69659992938355
41.9885.0530	32.90677641263196
41.9886.0530	26.32272149843345
41.9887.0530	41.97574305216529
41.9888.0530	33.45992745579198
41.9889.0530	47.82627119381576
41.9890.0530	48.1633908862263
51.9939.0613	44.29255949941373
51.9940.0613	48.04685792418215
51.9941.0613	40.60956983968006
51.9942.0613	50.32113066291006
51.9943.0613	49.60568144234909
51.9944.0613	35.94341067933667
51.9945.0613	44.87581276123584
51.9946.0613	36.30132428029046
51.9947.0613	45.32650271439465
51.9948.0613	45.75650097816546
51.9949.0613	41.32508306091714
51.9950.0613	45.98673268741831
51.9951.0613	47.58803471621982
51.9952.0613	48.26660544761702
51.9953.0613	49.35077300386817
61.9961.0627	51.06246974979524
61.9962.0627	49.14450373997093
61.9963.0627	46.56024016889202
61.9964.0627	38.98785340582154
61.9965.0627	46.66925867749288
61.9966.0627	53.28765123765604
61.9967.0627	55.53680039966335
61.9968.0627	48.50901705712917
61.9969.0627	43.66042346475049
61.9970.0627	52.70174064995919
61.9971.0627	39.0328949890947
61.9972.0627	40.33939460357718
61.9973.0627	53.6197065347807
61.9974.0627	48.48411722970346
61.9975.0627	54.61807391836541
71.100.0801	45.1736642792044
71.101.0801	38.2942154148589
71.102.0801	36.24084815820318
71.103.0801	38.8798137309572
71.104.0801	38.28600052270257
71.105.0801	38.60618588614035
71.106.0801	42.88972185771344
71.107.0801	39.51543921958593
71.108.0801	39.99165843468437
71.109.0801	39.17808135725163
71.110.0801	38.92480009547127
71.111.0801	39.99073383338582
71.112.0801	35.27746059035438
71.113.0801	2.445933977226275
71.114.0801	37.59070982416036
71.115.0801	38.27872697143995
71.116.0801	37.99547625195542
71.117.0801	40.93229012051829
71.118.0801	40.26500415649473
71.98.0801	39.72352088109751
71.99.0801	40.99836388308456
AM.chow.3.3.0412	19.53254735674864
AM.chow.3.4.0412	16.99554170240481
AM.chow.4.1.0412	15.25523904879037
AM.chow.4.2.0412	12.37755650778399
AM.chow.4.3.0412	12.54075559594156
AM.chow.4.4.0412	13.52379827766259
AM.hfd.3.1.0412	10.54141902478699
AM.hfd.3.2.0412	9.733118278577365
AM.hfd.3.3.0412	12.86740035795816
AM.hfd.3.4.0412	9.679622430516645
AM.hfd.4.1.0412	10.67909314239182
AM.hfd.4.2.0412	10.52949839178967
AM.hfd.4.3.0412	10.48050288333866
AM.hfd.4.4.0412	7.61759564692602
AM.LF.1.0107	69.10272967967377
AM.LF.1.0127	6.415438860009147
AM.LF.2.0107	59.14838313659574
AM.LF.2.0127	5.189055127791335
AM.LF.3.0107	62.43874669418985
AM.LF.3.0127	7.980200209658165
AM.LF.6.0107	61.86600828108357
AM.LF.6.0127	4.807027617432084
AM.LF.7.0107	50.33115455518681
AM.LF.7.0127	4.689143016535695
AM.S3.CH.1.0108	50.38531148828197
AM.S3.CH.1.0127	15.00755107317667
AM.S3.CH.2.0108	50.9186925442357
AM.S3.CH.2.0127	11.22643850003288
AM.S3.CH.3.0108	54.78062322263504
AM.S3.CH.3.0127	12.90678424790298
AM.S3.CH.4.0108	52.58425947224772
AM.S3.CH.4.0127	11.98557682764596
AM.S3.CH.5.0108	46.12713878892852
AM.S3.CH.5.0127	13.16659182889117
AM.S3.HFD.1.0108	48.72229290170908
AM.S3.HFD.1.0127	6.407755888202757
AM.S3.HFD.2.0108	55.68364486412806
AM.S3.HFD.3.0108	51.15107662439972
AM.S3.HFD.3.0127	8.087298541032339
AM.S3.HFD.4.0108	49.73714683413222
AM.S3.HFD.4.0127	6.652979742970672
AM.S3.HFD.5.0108	53.76801093932836
AM.S3.HFD.5.0127	7.021631144835567
AM.S6.chow_3.1.0326	45.54383363454718
AM.S6.chow_3.2.0326	49.77575484343419
AM.S6.chow_3.3.0326	43.70583921406234
AM.S6.chow_3.4.0326	43.56169148845949
AM.S6.chow_4.1.0326	49.00146535180899
AM.S6.chow_4.2.0326	38.03610840550198
AM.S6.chow_4.3.0326	45.50195787519823
AM.S6.chow_4.4.0326	34.6406574189545
AM.S6.hfd_3.1.0326	43.6797075186949
AM.S6.hfd_3.2.0326	42.24075944190838
AM.S6.hfd_3.3.0326	47.23051958693009
AM.S6.hfd_3.4.0326	48.32977274293621
AM.S6.hfd_4.1.0326	49.72694825800222
AM.S6.hfd_4.2.0326	44.45120880490903
