sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
42.9881.0606	LF/LF	-8	9881	4	LF/LF	0	0	1	24476
43.9881.0611	LF/LF	-3	9881	4	LF/LF	0	0	1	3164
44.9881.0614	LF/LF	0	9881	4	LF/LF	0	0	1	44081
41.9882.0530	LF/LF	-15	9882	4	Chow	0	1	0	34891
42.9882.0606	LF/LF	-8	9882	4	LF/LF	0	0	1	34404
43.9882.0611	LF/LF	-3	9882	4	LF/LF	0	0	1	6756
44.9882.0614	LF/LF	0	9882	4	LF/LF	0	0	1	33055
41.9883.0530	LF/LF	-15	9883	4	Chow	0	1	0	39647
42.9883.0606	LF/LF	-8	9883	4	LF/LF	0	0	1	27592
43.9883.0611	LF/LF	-3	9883	4	LF/LF	0	0	1	1249
44.9883.0614	LF/LF	0	9883	4	LF/LF	0	0	1	36190
41.9884.0530	LF/LF	-15	9884	4	Chow	0	1	0	38177
42.9884.0606	LF/LF	-8	9884	4	LF/LF	0	0	1	31674
43.9884.0611	LF/LF	-3	9884	4	LF/LF	0	0	1	8738
44.9884.0614	LF/LF	0	9884	4	LF/LF	0	0	1	49560
41.9885.0530	LF/LF	-15	9885	4	Chow	0	1	0	31885
42.9885.0606	LF/LF	-8	9885	4	LF/LF	0	0	1	36809
43.9885.0611	LF/LF	-3	9885	4	LF/LF	0	0	1	1955
44.9885.0614	LF/LF	0	9885	4	LF/LF	0	0	1	39594
41.9886.0530	HF/LF	-15	9886	4	Chow	0	1	0	29996
42.9886.0606	HF/LF	-8	9886	4	HF/LF	1	0	1	29639
43.9886.0611	HF/LF	-3	9886	4	HF/LF	1	0	1	14868
44.9886.0614	HF/LF	0	9886	4	HF/LF	1	0	1	29038
41.9887.0530	HF/LF	-15	9887	4	Chow	0	1	0	31800
42.9887.0606	HF/LF	-8	9887	4	HF/LF	1	0	1	25376
43.9887.0611	HF/LF	-3	9887	4	HF/LF	1	0	1	681
44.9887.0614	HF/LF	0	9887	4	HF/LF	1	0	1	20526
41.9888.0530	HF/LF	-15	9888	4	Chow	0	1	0	28541
42.9888.0606	HF/LF	-8	9888	4	HF/LF	1	0	1	41745
43.9888.0611	HF/LF	-3	9888	4	HF/LF	1	0	1	3579
44.9888.0614	HF/LF	0	9888	4	HF/LF	1	0	1	11502
41.9889.0530	HF/LF	-15	9889	4	Chow	0	1	0	25378
42.9889.0606	HF/LF	-8	9889	4	HF/LF	1	0	1	39622
43.9889.0611	HF/LF	-3	9889	4	HF/LF	1	0	1	18928
44.9889.0614	HF/LF	0	9889	4	HF/LF	1	0	1	23742
41.9890.0530	HF/LF	-15	9890	4	Chow	0	1	0	35205
42.9890.0606	HF/LF	-8	9890	4	HF/LF	1	0	1	33901
43.9890.0611	HF/LF	-3	9890	4	HF/LF	1	0	1	15076
44.9890.0614	HF/LF	0	9890	4	HF/LF	1	0	1	34319
51.9939.0613	Chow	-15	9939	5	Chow	0	1	0	40213
52.9939.0620	Chow	-8	9939	5	Chow	0	1	0	21753
53.9939.0625	Chow	-3	9939	5	Chow	0	1	0	33123
54.9939.0628	Chow	0	9939	5	Chow	0	1	0	42105
51.9940.0613	Chow	-15	9940	5	Chow	0	1	0	34358
52.9940.0620	Chow	-8	9940	5	Chow	0	1	0	34671
53.9940.0625	Chow	-3	9940	5	Chow	0	1	0	69102
54.9940.0628	Chow	0	9940	5	Chow	0	1	0	87658
51.9941.0613	Chow	-15	9941	5	Chow	0	1	0	36224
52.9941.0620	Chow	-8	9941	5	Chow	0	1	0	38634
53.9941.0625	Chow	-3	9941	5	Chow	0	1	0	27050
54.9941.0628	Chow	0	9941	5	Chow	0	1	0	45315
51.9942.0613	Chow	-15	9942	5	Chow	0	1	0	52045
52.9942.0620	Chow	-8	9942	5	Chow	0	1	0	35345
53.9942.0625	Chow	-3	9942	5	Chow	0	1	0	43768
54.9942.0628	Chow	0	9942	5	Chow	0	1	0	38133
51.9943.0613	Chow	-15	9943	5	Chow	0	1	0	56518
52.9943.0620	Chow	-8	9943	5	Chow	0	1	0	NA
53.9943.0625	Chow	-3	9943	5	Chow	0	1	0	35584
54.9943.0628	Chow	0	9943	5	Chow	0	1	0	36649
51.9944.0613	LF/LF	-15	9944	5	Chow	0	1	0	44289
52.9944.0620	LF/LF	-8	9944	5	LF/LF	0	0	1	49167
53.9944.0625	LF/LF	-3	9944	5	LF/LF	0	0	1	1493
54.9944.0628	LF/LF	0	9944	5	LF/LF	0	0	1	79537
51.9945.0613	LF/LF	-15	9945	5	Chow	0	1	0	37021
52.9945.0620	LF/LF	-8	9945	5	LF/LF	0	0	1	41740
53.9945.0625	LF/LF	-3	9945	5	LF/LF	0	0	1	39585
54.9945.0628	LF/LF	0	9945	5	LF/LF	0	0	1	36297
51.9946.0613	LF/LF	-15	9946	5	Chow	0	1	0	25344
52.9946.0620	LF/LF	-8	9946	5	LF/LF	0	0	1	60028
53.9946.0625	LF/LF	-3	9946	5	LF/LF	0	0	1	27586
54.9946.0628	LF/LF	0	9946	5	LF/LF	0	0	1	63496
51.9947.0613	LF/LF	-15	9947	5	Chow	0	1	0	52817
52.9947.0620	LF/LF	-8	9947	5	LF/LF	0	0	1	46947
53.9947.0625	LF/LF	-3	9947	5	LF/LF	0	0	1	2175
54.9947.0628	LF/LF	0	9947	5	LF/LF	0	0	1	7670
51.9948.0613	LF/LF	-15	9948	5	Chow	0	1	0	37663
52.9948.0620	LF/LF	-8	9948	5	LF/LF	0	0	1	36837
53.9948.0625	LF/LF	-3	9948	5	LF/LF	0	0	1	53233
54.9948.0628	LF/LF	0	9948	5	LF/LF	0	0	1	34433
51.9949.0613	HF/LF	-15	9949	5	Chow	0	1	0	35903
52.9949.0620	HF/LF	-8	9949	5	HF/LF	1	0	1	40036
53.9949.0625	HF/LF	-3	9949	5	HF/LF	1	0	1	1777
54.9949.0628	HF/LF	0	9949	5	HF/LF	1	0	1	18838
51.9950.0613	HF/LF	-15	9950	5	Chow	0	1	0	32548
52.9950.0620	HF/LF	-8	9950	5	HF/LF	1	0	1	50533
53.9950.0625	HF/LF	-3	9950	5	HF/LF	1	0	1	5586
54.9950.0628	HF/LF	0	9950	5	HF/LF	1	0	1	19358
51.9951.0613	HF/LF	-15	9951	5	Chow	0	1	0	36291
52.9951.0620	HF/LF	-8	9951	5	HF/LF	1	0	1	60089
53.9951.0625	HF/LF	-3	9951	5	HF/LF	1	0	1	1509
54.9951.0628	HF/LF	0	9951	5	HF/LF	1	0	1	26669
51.9952.0613	HF/LF	-15	9952	5	Chow	0	1	0	37115
52.9952.0620	HF/LF	-8	9952	5	HF/LF	1	0	1	64059
53.9952.0625	HF/LF	-3	9952	5	HF/LF	1	0	1	2808
54.9952.0628	HF/LF	0	9952	5	HF/LF	1	0	1	28191
51.9953.0613	HF/LF	-15	9953	5	Chow	0	1	0	64675
52.9953.0620	HF/LF	-8	9953	5	HF/LF	1	0	1	41736
53.9953.0625	HF/LF	-3	9953	5	HF/LF	1	0	1	1215
54.9953.0628	HF/LF	0	9953	5	HF/LF	1	0	1	7836
