sampleid	diet	day_post_inf	mouse_id	study	diet_true	high_fat	high_fiber	purified_diet	seq_depth
2_0430_9746	LF/HF	-3	9746	2	LF/HF	0	1	1	49428
2_0503_9746	LF/HF	0	9746	2	LF/HF	0	1	1	62072
2_0506_9746	LF/HF	3	9746	2	LF/HF	0	1	1	56965
2_0418_9747	LF/HF	-15	9747	2	Chow	0	1	0	45562
2_0425_9747	LF/HF	-8	9747	2	LF/HF	0	1	1	47570
2_0430_9747	LF/HF	-3	9747	2	LF/HF	0	1	1	40890
2_0503_9747	LF/HF	0	9747	2	LF/HF	0	1	1	39503
2_0418_9748	LF/HF	-15	9748	2	Chow	0	1	0	37814
2_0425_9748	LF/HF	-8	9748	2	LF/HF	0	1	1	39919
2_0430_9748	LF/HF	-3	9748	2	LF/HF	0	1	1	167423
2_0503_9748	LF/HF	0	9748	2	LF/HF	0	1	1	38570
2_0418_9749	LF/HF	-15	9749	2	Chow	0	1	0	41273
2_0425_9749	LF/HF	-8	9749	2	LF/HF	0	1	1	46151
2_0430_9749	LF/HF	-3	9749	2	LF/HF	0	1	1	34338
2_0503_9749	LF/HF	0	9749	2	LF/HF	0	1	1	40374
3_0516_9831	LF/HF	-15	9831	3	Chow	0	1	0	45158
3_0523_9831	LF/HF	-8	9831	3	LF/HF	0	1	1	29520
3_0516_9832	LF/HF	-15	9832	3	Chow	0	1	0	33808
3_0523_9832	LF/HF	-8	9832	3	LF/HF	0	1	1	32433
3_0516_9833	LF/HF	-15	9833	3	Chow	0	1	0	36151
3_0516_9834	LF/HF	-15	9834	3	Chow	0	1	0	37279
3_0516_9835	LF/HF	-15	9835	3	Chow	0	1	0	37750
3_0523_9835	LF/HF	-8	9835	3	LF/HF	0	1	1	31165
2_0418_9751	HF/LF	-15	9751	2	Chow	0	1	0	44643
2_0418_9752	HF/LF	-15	9752	2	Chow	0	1	0	43651
2_0418_9753	HF/LF	-15	9753	2	Chow	0	1	0	43057
2_0418_9754	HF/LF	-15	9754	2	Chow	0	1	0	40098
3_0516_9848	HF/LF	-15	9848	3	Chow	0	1	0	NA
3_0516_9846	HF/LF	-15	9846	3	Chow	0	1	0	34436
3_0523_9846	HF/LF	-8	9846	3	HF/LF	1	0	1	40077
3_0516_9847	HF/LF	-15	9847	3	Chow	0	1	0	31722
3_0523_9847	HF/LF	-8	9847	3	HF/LF	1	0	1	48100
3_0523_9848	HF/LF	-8	9848	3	HF/LF	1	0	1	52427
3_0516_9849	HF/LF	-15	9849	3	Chow	0	1	0	28320
3_0516_9851	HF/LF	-15	9851	3	Chow	0	1	0	30878
1_0403_9687	HF/HF	-15	9687	1	Chow	0	1	0	52967
1_0410_9687	HF/HF	-8	9687	1	HF/HF	1	1	1	35445
1_0415_9687	HF/HF	-3	9687	1	HF/HF	1	1	1	23177
1_0418_9687	HF/HF	0	9687	1	HF/HF	1	1	1	50220
1_0421_9687	HF/HF	3	9687	1	HF/HF	1	1	1	63832
1_0403_9691	HF/HF	-15	9691	1	Chow	0	1	0	38624
1_0410_9691	HF/HF	-8	9691	1	HF/HF	1	1	1	35871
1_0415_9691	HF/HF	-3	9691	1	HF/HF	1	1	1	15234
1_0418_9691	HF/HF	0	9691	1	HF/HF	1	1	1	52945
1_0421_9691	HF/HF	3	9691	1	HF/HF	1	1	1	46526
1_0403_9693	HF/HF	-15	9693	1	Chow	0	1	0	32699
1_0410_9693	HF/HF	-8	9693	1	HF/HF	1	1	1	47385
1_0415_9693	HF/HF	-3	9693	1	HF/HF	1	1	1	20803
1_0418_9693	HF/HF	0	9693	1	HF/HF	1	1	1	31618
1_0421_9693	HF/HF	3	9693	1	HF/HF	1	1	1	41380
1_0403_9694	HF/HF	-15	9694	1	Chow	0	1	0	40434
1_0410_9694	HF/HF	-8	9694	1	HF/HF	1	1	1	41077
1_0415_9694	HF/HF	-3	9694	1	HF/HF	1	1	1	17674
1_0418_9694	HF/HF	0	9694	1	HF/HF	1	1	1	49866
