sampleid	seq_depth
44.9885.0614	39594
44.9886.0614	29038
44.9887.0614	20526
44.9888.0614	11502
44.9889.0614	23742
44.9890.0614	34319
51.9939.0613	40213
51.9940.0613	34358
51.9941.0613	36224
51.9942.0613	52045
51.9943.0613	56518
51.9944.0613	44289
51.9945.0613	37021
51.9946.0613	25344
51.9947.0613	52817
51.9948.0613	37663
51.9949.0613	35903
51.9950.0613	32548
51.9951.0613	36291
51.9952.0613	37115
51.9953.0613	64675
52.9939.0620	21753
52.9940.0620	34671
52.9941.0620	38634
52.9942.0620	35345
52.9944.0620	49167
52.9945.0620	41740
52.9946.0620	60028
52.9947.0620	46947
52.9948.0620	36837
52.9949.0620	40036
52.9950.0620	50533
52.9951.0620	60089
52.9952.0620	64059
52.9953.0620	41736
53.9939.0625	33123
53.9940.0625	69102
53.9941.0625	27050
53.9942.0625	43768
53.9943.0625	35584
53.9944.0625	1493
53.9945.0625	39585
53.9946.0625	27586
53.9947.0625	2175
53.9948.0625	53233
53.9949.0625	1777
53.9950.0625	5586
53.9951.0625	1509
53.9952.0625	2808
53.9953.0625	1215
54.9939.0628	42105
54.9940.0628	87658
54.9941.0628	45315
54.9942.0628	38133
54.9943.0628	36649
54.9944.0628	79537
54.9945.0628	36297
54.9946.0628	63496
54.9947.0628	7670
54.9948.0628	34433
54.9949.0628	18838
54.9950.0628	19358
54.9951.0628	26669
54.9952.0628	28191
54.9953.0628	7836
61.9961.0627	18700
61.9962.0627	35472
61.9963.0627	30837
61.9964.0627	19244
61.9965.0627	35385
61.9966.0627	44681
61.9967.0627	29690
61.9968.0627	41839
61.9969.0627	34281
61.9970.0627	35746
61.9971.0627	28707
61.9972.0627	43798
61.9973.0627	35764
61.9974.0627	32533
61.9975.0627	41796
62.9961.0704	24794
62.9962.0704	32763
62.9963.0704	33693
62.9964.0704	34739
62.9965.0704	33600
62.9966.0704	26523
62.9967.0704	34323
62.9968.0704	45033
62.9969.0704	43865
62.9970.0704	45004
62.9972.0704	40135
62.9973.0704	34776
62.9974.0704	47706
62.9975.0704	40482
63.9961.0709	40637
63.9962.0709	48936
63.9963.0709	35517
63.9964.0709	42957
63.9965.0709	39090
63.9966.0709	1980
63.9967.0709	24585
63.9968.0709	23530
63.9969.0709	7569
63.9970.0709	298
63.9971.0709	2595
