"mouse_id","day","weight","study","diet"
146,18,17.2,"study 8","HF/HF"
146,19,16,"study 8","HF/HF"
146,20,15.3,"study 8","HF/HF"
146,21,16.2,"study 8","HF/HF"
146,22,16.9,"study 8","HF/HF"
146,25,18.1,"study 8","HF/HF"
147,0,NA,"study 8","LF/LF"
147,8,17.5,"study 8","LF/LF"
147,13,18.7,"study 8","LF/LF"
147,14,19.8,"study 8","LF/LF"
147,15,20.3,"study 8","LF/LF"
147,16,20.5,"study 8","LF/LF"
147,17,18.8,"study 8","LF/LF"
147,18,NA,"study 8","LF/LF"
147,19,NA,"study 8","LF/LF"
147,20,NA,"study 8","LF/LF"
147,21,NA,"study 8","LF/LF"
147,22,NA,"study 8","LF/LF"
147,25,NA,"study 8","LF/LF"
148,0,NA,"study 8","LF/LF"
148,8,19.4,"study 8","LF/LF"
148,13,20.1,"study 8","LF/LF"
148,14,20.9,"study 8","LF/LF"
148,15,20.5,"study 8","LF/LF"
148,16,21.4,"study 8","LF/LF"
148,17,21.5,"study 8","LF/LF"
148,18,18.3,"study 8","LF/LF"
148,19,17,"study 8","LF/LF"
148,20,16,"study 8","LF/LF"
148,21,NA,"study 8","LF/LF"
148,22,NA,"study 8","LF/LF"
148,25,NA,"study 8","LF/LF"
149,0,NA,"study 8","LF/LF"
149,8,18.6,"study 8","LF/LF"
149,13,19.9,"study 8","LF/LF"
149,14,20.7,"study 8","LF/LF"
149,15,21.2,"study 8","LF/LF"
149,16,21.1,"study 8","LF/LF"
149,17,20.7,"study 8","LF/LF"
149,18,17.4,"study 8","LF/LF"
149,19,NA,"study 8","LF/LF"
149,20,NA,"study 8","LF/LF"
149,21,NA,"study 8","LF/LF"
149,22,NA,"study 8","LF/LF"
149,25,NA,"study 8","LF/LF"
150,0,NA,"study 8","LF/LF"
150,8,18.3,"study 8","LF/LF"
150,13,19.6,"study 8","LF/LF"
150,14,20.6,"study 8","LF/LF"
150,15,20.7,"study 8","LF/LF"
150,16,20.8,"study 8","LF/LF"
150,17,19.6,"study 8","LF/LF"
150,18,NA,"study 8","LF/LF"
150,19,NA,"study 8","LF/LF"
150,20,NA,"study 8","LF/LF"
150,21,NA,"study 8","LF/LF"
150,22,NA,"study 8","LF/LF"
150,25,NA,"study 8","LF/LF"
151,0,NA,"study 8","LF/HF"
151,8,18.2,"study 8","LF/HF"
151,13,19.1,"study 8","LF/HF"
151,14,19.6,"study 8","LF/HF"
151,15,20.1,"study 8","LF/HF"
151,16,20.3,"study 8","LF/HF"
151,17,17.7,"study 8","LF/HF"
