sampleid	diet	day_post_inf	mouse_id	study	sample_type	diet_true	high_fat	high_fiber	purified_diet	facility	seq_depth
72.111.0808	HF/LF	-8	111	7	colon	HF/LF	1	0	1	barrier_1	43626
73.111.0813	HF/LF	-3	111	7	colon	HF/LF	1	0	1	barrier_1	2039
74.111.0816	HF/LF	0	111	7	colon	HF/LF	1	0	1	barrier_1	14458
71.112.0801	HF/LF	-15	112	7	colon	Chow	0	0	0	barrier_1	26701
72.112.0808	HF/LF	-8	112	7	colon	HF/LF	1	0	1	barrier_1	36552
73.112.0813	HF/LF	-3	112	7	colon	HF/LF	1	0	1	barrier_1	5608
71.113.0801	HF/LF	-15	113	7	colon	Chow	0	0	0	barrier_1	4
72.113.0808	HF/LF	-8	113	7	colon	HF/LF	1	0	1	barrier_1	39612
73.113.0813	HF/LF	-3	113	7	colon	HF/LF	1	0	1	barrier_1	11695
74.113.0816	HF/LF	0	113	7	colon	HF/LF	1	0	1	barrier_1	32629
75.113.0819	HF/LF	3	113	7	colon	HF/LF	1	0	1	barrier_1	39746
71.114.0801	Chow	-15	114	7	colon	Chow	0	0	0	barrier_1	27826
72.114.0808	Chow	-8	114	7	colon	Chow	0	0	0	barrier_1	33658
73.114.0813	Chow	-3	114	7	colon	Chow	0	0	0	barrier_1	28624
74.114.0816	Chow	0	114	7	colon	Chow	0	0	0	barrier_1	29237
75.114.0819	Chow	3	114	7	colon	Chow	0	0	0	barrier_1	27079
71.115.0801	Chow	-15	115	7	colon	Chow	0	0	0	barrier_1	27182
72.115.0808	Chow	-8	115	7	colon	Chow	0	0	0	barrier_1	39710
73.115.0813	Chow	-3	115	7	colon	Chow	0	0	0	barrier_1	16968
74.115.0816	Chow	0	115	7	colon	Chow	0	0	0	barrier_1	30190
75.115.0819	Chow	3	115	7	colon	Chow	0	0	0	barrier_1	31803
71.116.0801	Chow	-15	116	7	colon	Chow	0	0	0	barrier_1	28354
72.116.0808	Chow	-8	116	7	colon	Chow	0	0	0	barrier_1	31089
74.116.0816	Chow	0	116	7	colon	Chow	0	0	0	barrier_1	45218
75.116.0819	Chow	3	116	7	colon	Chow	0	0	0	barrier_1	32494
71.117.0801	Chow	-15	117	7	colon	Chow	0	0	0	barrier_1	23118
73.117.0813	Chow	-3	117	7	colon	Chow	0	0	0	barrier_1	32144
74.117.0816	Chow	0	117	7	colon	Chow	0	0	0	barrier_1	39855
75.117.0819	Chow	3	117	7	colon	Chow	0	0	0	barrier_1	22518
71.118.0801	Chow	-15	118	7	colon	Chow	0	0	0	barrier_1	27701
61.9961.0627	Chow	-15	9961	6	colon	Chow	0	0	0	barrier_2	18700
62.9961.0704	Chow	-8	9961	6	colon	Chow	0	0	0	barrier_2	24794
63.9961.0709	Chow	-3	9961	6	colon	Chow	0	0	0	barrier_2	40637
64.9961.0712	Chow	0	9961	6	colon	Chow	0	0	0	barrier_2	30186
61.9962.0627	Chow	-15	9962	6	colon	Chow	0	0	0	barrier_2	35472
62.9962.0704	Chow	-8	9962	6	colon	Chow	0	0	0	barrier_2	32763
63.9962.0709	Chow	-3	9962	6	colon	Chow	0	0	0	barrier_2	48936
64.9962.0712	Chow	0	9962	6	colon	Chow	0	0	0	barrier_2	40444
61.9963.0627	Chow	-15	9963	6	colon	Chow	0	0	0	barrier_2	30837
62.9963.0704	Chow	-8	9963	6	colon	Chow	0	0	0	barrier_2	33693
63.9963.0709	Chow	-3	9963	6	colon	Chow	0	0	0	barrier_2	35517
64.9963.0712	Chow	0	9963	6	colon	Chow	0	0	0	barrier_2	38994
61.9964.0627	Chow	-15	9964	6	colon	Chow	0	0	0	barrier_2	19244
62.9964.0704	Chow	-8	9964	6	colon	Chow	0	0	0	barrier_2	34739
63.9964.0709	Chow	-3	9964	6	colon	Chow	0	0	0	barrier_2	42957
64.9964.0712	Chow	0	9964	6	colon	Chow	0	0	0	barrier_2	39179
61.9965.0627	Chow	-15	9965	6	colon	Chow	0	0	0	barrier_2	35385
62.9965.0704	Chow	-8	9965	6	colon	Chow	0	0	0	barrier_2	33600
63.9965.0709	Chow	-3	9965	6	colon	Chow	0	0	0	barrier_2	39090
64.9965.0712	Chow	0	9965	6	colon	Chow	0	0	0	barrier_2	33855
61.9966.0627	LF/LF	-15	9966	6	colon	Chow	0	0	0	barrier_2	44681
62.9966.0704	LF/LF	-8	9966	6	colon	LF/LF	0	0	1	barrier_2	26523
63.9966.0709	LF/LF	-3	9966	6	colon	LF/LF	0	0	1	barrier_2	1980
64.9966.0712	LF/LF	0	9966	6	colon	LF/LF	0	0	1	barrier_2	2143
61.9967.0627	LF/LF	-15	9967	6	colon	Chow	0	0	0	barrier_2	29690
62.9967.0704	LF/LF	-8	9967	6	colon	LF/LF	0	0	1	barrier_2	34323
63.9967.0709	LF/LF	-3	9967	6	colon	LF/LF	0	0	1	barrier_2	24585
64.9967.0712	LF/LF	0	9967	6	colon	LF/LF	0	0	1	barrier_2	27508
61.9968.0627	LF/LF	-15	9968	6	colon	Chow	0	0	0	barrier_2	41839
62.9968.0704	LF/LF	-8	9968	6	colon	LF/LF	0	0	1	barrier_2	45033
63.9968.0709	LF/LF	-3	9968	6	colon	LF/LF	0	0	1	barrier_2	23530
64.9968.0712	LF/LF	0	9968	6	colon	LF/LF	0	0	1	barrier_2	38204
61.9969.0627	LF/LF	-15	9969	6	colon	Chow	0	0	0	barrier_2	34281
62.9969.0704	LF/LF	-8	9969	6	colon	LF/LF	0	0	1	barrier_2	43865
63.9969.0709	LF/LF	-3	9969	6	colon	LF/LF	0	0	1	barrier_2	7569
64.9969.0712	LF/LF	0	9969	6	colon	LF/LF	0	0	1	barrier_2	26039
61.9970.0627	LF/LF	-15	9970	6	colon	Chow	0	0	0	barrier_2	35746
